"","Day","Month","Year","Latitude","Longitude","X..km2","Total.Wieght..g..km.2","Source","Mesh.Size","Notes","CutOff","TopLim","Microplastics...km.2","Macroplastics....km.2","Microplastics.Weight..g...km.2","Macroplastics.Weight..g...km.2","Ship","CruiseNo","CruiseNoCode","StationNo","TimeLocal","TimeLocalFormatted","MonthUTC","DayUTC","YearUTC","TowAreaM2","CountPlasticFragments","CountPlasticPellets","CountTotalPlastics","FragmentDensityNoSqKm","PelletDensityNoSqKm","u10Mps","v10Mps"
"1",21,7,1986,25,-160,8600,21.6,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",22,7,1986,28.33,-162.33,11330,1048.5,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",23,7,1986,31.66,-164.83,20500,423.2,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",24,7,1986,34.83,-167,3800,95.4,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",25,7,1986,38,-169.5,5000,39.8,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",26,7,1986,40,-170,6500,25.9,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",26,7,1986,42,-170,3200,35.6,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",28,7,1986,41.5,-172,3200,16.2,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",29,7,1986,40,-172,187700,255.7,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",30,7,1986,39,-173,9700,22.7,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",30,7,1986,39.75,-175,3200,93.9,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",31,7,1986,42,-175,26600,166.1,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2,8,1986,41,-179.5,157300,251.8,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",5,8,1986,40,177.5,8100,81,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",5,8,1986,40,174.5,202700,312.3,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",6,8,1986,40,171.5,165000,3941.8,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",7,8,1986,40,168.5,181200,278.3,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",7,8,1986,40,165.5,17100,47.8,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",9,8,1986,41,160,9300,74.1,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
