"","X","Day","Month","Year","Lat","Lon","km2","Total.Wieght..g..km.2","Source","Mesh.Size","Notes","CutOff","TopLim","Micro","Macro","Microplastics.Weight..g...km.2","Macroplastics.Weight..g...km.2","Ship","CruiseNo","CruiseNoCode","StationNo","TimeLocal","TimeLocalFormatted","MonthUTC","DayUTC","YearUTC","TowAreaM2","CountPlasticFragments","CountPlasticPellets","CountTotalPlastics","FragmentDensityNoSqKm","PelletDensityNoSqKm","u10Mps","MeasuredWind","Mesh.Size == as.numeric(Mesh.Size)","Corrected","wind","CorrectedConcentration"
"1",1,21,7,1986,25,-160,8600,21.6,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",7.37834936380386,18916.2725374876
"2",2,22,7,1986,28.33,-162.33,11330,1048.5,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.06951147317886,21726.9006615771
"3",3,23,7,1986,31.66,-164.83,20500,423.2,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",4.78997045755386,26706.8673660898
"4",4,24,7,1986,34.83,-167,3800,95.4,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.03044897317886,7255.33506205339
"5",5,25,7,1986,38,-169.5,5000,39.8,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.55730444192886,10111.1401659593
"6",6,26,7,1986,40,-170,6500,25.9,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.44695287942886,12990.319335481
"7",7,26,7,1986,42,-170,3200,35.6,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.59368139505386,6496.17017985418
"8",8,28,7,1986,41.5,-172,3200,16.2,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.52385717630386,6448.11534488405
"9",9,29,7,1986,40,-172,187700,255.7,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.51653295755386,377926.730782199
"10",10,30,7,1986,39,-173,9700,22.7,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.08928686380386,18642.1377639039
"11",11,30,7,1986,39.75,-175,3200,93.9,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.34954077005386,6328.32356142617
"12",12,31,7,1986,42,-175,26600,166.1,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.58342748880386,53940.732853637
"13",13,2,8,1986,41,-179.5,157300,251.8,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",7.00287622213364,333207.172942534
"14",14,5,8,1986,40,177.5,8100,81,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.66620630025864,16569.8782020775
"15",15,5,8,1986,40,174.5,202700,312.3,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.53827661275864,409076.214040789
"16",16,6,8,1986,40,171.5,165000,3941.8,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.29169458150864,324257.468263716
"17",17,7,8,1986,40,168.5,181200,278.3,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.34003442525864,357971.827491836
"18",18,7,8,1986,40,165.5,17100,47.8,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.36249536275864,33864.5036573138
"19",19,9,8,1986,41,160,9300,74.1,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",5.77362817525864,17247.4240106293
"20",20,10,8,1986,43,160,0,0,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",5.44501489400864,0
"21",21,10,8,1986,43.83,158.75,12900,30.2,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.24652856588364,25226.184055681
"22",22,11,8,1986,42.58,157,14000,87.4,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.29169458150864,27512.754882982
"23",23,12,8,1986,40.5,157,35600,524.3,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.44184106588364,71107.8949109118
"24",24,13,8,1986,40.08,154.33,19100,38.2,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.47235864400864,38275.7927997282
"25",25,15,8,1986,41.33,153,24300,76.9,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.35248559713364,48071.0580521637
"26",26,16,8,1986,40.33,150.5,23100,32.4,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",5.74262231588364,42688.0850217003
