"","X.1","X","Day","Month","Year","Lat","Lon","km2","Total.Wieght..g..km.2","Source","Mesh.Size","Notes","CutOff","TopLim","Micro","Macro","Microplastics.Weight..g...km.2","Macroplastics.Weight..g...km.2","Ship","CruiseNo","CruiseNoCode","StationNo","TimeLocal","TimeLocalFormatted","MonthUTC","DayUTC","YearUTC","TowAreaM2","CountPlasticFragments","CountPlasticPellets","CountTotalPlastics","FragmentDensityNoSqKm","PelletDensityNoSqKm","u10Mps","MeasuredWind","Mesh.Size....as.numeric.Mesh.Size.","Corrected","wind","CorrectedConcentration","Latcopy","Basin","OceanScaled","Date","DateFormatted","censored","fitkm2","fitlogkm2","PredictedVals","Residuals"
"1",1,1,21,7,1986,25,-160,18916.2725374876,21.6,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",7.37834936380386,18916.2725374876,25,"North Pacific",0.0839580499259989,2744,1986-07-21,FALSE,18916.2725374876,9.8477778114358,8.08436512343336,1.76341268800245
"2",2,2,22,7,1986,28.33,-162.33,21726.9006615771,1048.5,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.06951147317886,21726.9006615771,28.33,"North Pacific",0.206188544992381,2745,1986-07-22,FALSE,21726.9006615771,9.98630643360609,8.14910449993705,1.83720193366904
"3",3,3,23,7,1986,31.66,-164.83,26706.8673660898,423.2,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",4.78997045755386,26706.8673660898,31.66,"North Pacific",0.303481989168035,2746,1986-07-23,FALSE,26706.8673660898,10.1926760160393,8.20063596849903,1.99204004754031
"4",4,4,24,7,1986,34.83,-167,7255.33506205339,95.4,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.03044897317886,7255.33506205339,34.83,"North Pacific",0.198133865752948,2747,1986-07-24,FALSE,7255.33506205339,8.88949234785674,8.14483833942109,0.744654008435642
"5",5,5,25,7,1986,38,-169.5,10111.1401659593,39.8,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.55730444192886,10111.1401659593,38,"North Pacific",0.0220933926760255,2748,1986-07-25,FALSE,10111.1401659593,9.22139308171505,8.05159851035695,1.16979457135811
"6",6,6,26,7,1986,40,-170,12990.319335481,25.9,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.44695287942886,12990.319335481,40,"North Pacific",-0.0161447955580028,2749,1986-07-26,FALSE,12990.319335481,9.47195969254039,8.03134565558811,1.44061403695228
"7",7,7,26,7,1986,42,-170,6496.17017985418,35.6,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.59368139505386,6496.17017985418,42,"North Pacific",-0.0415291319332352,2749,1986-07-26,FALSE,6496.17017985418,8.77896807913601,8.01790084290859,0.761067236227419
"8",8,8,28,7,1986,41.5,-172,6448.11534488405,16.2,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.52385717630386,6448.11534488405,41.5,"North Pacific",-0.0609376634251168,2751,1986-07-28,FALSE,6448.11534488405,8.77154317250104,8.00762111503091,0.763922057470129
"9",9,9,29,7,1986,40,-172,377926.730782199,255.7,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.51653295755386,377926.730782199,40,"North Pacific",0.0672999111033477,2752,1986-07-29,FALSE,377926.730782199,12.842455621904,8.07554214091574,4.76691348098824
"10",10,10,30,7,1986,39,-173,18642.1377639039,22.7,"DayClausen1986",500,"Manually entered from document, no cutoff described.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"No",6.08928686380386,18642.1377639039,39,"North Pacific",0.0933522252733813,2753,1986-07-30,FALSE,18642.1377639039,9.83317976856826,8.08934074800581,1.74383902056244
