Start Latitude DecimalDegrees,Start Longitude DecimalDegrees,Month,Day,YEAR,Total Pieces/km^2,Micro,Macro,Weight,Micro,Macro,Source,Note,,,,,,,km^2,Fragment Count Density <5mm,Count Density >5mm,,Pellet Count Density <5mm,Count Density >5mm,,Line Count Density <5mm,Count Density >5mm,,Film Count Density <5mm,Count Density >5mm,,Foam Count Density <5mm,Count Density >5mm,Total Count Density <5mm,Count Density >5mm,ALL SIZE,Sea State,Current Direction,Current Speed (Knots),Avg Boat Speed (Knots),Wind Speed (Knots),,,,,,,,,,
16.6906559680,-88.1948482,5,17,2017,6914.966685,3073.318526,3841.648158,,,,5Gyres Belize,Not adjusted,,,,,,,0.001301525,4.00,1.00,,0,0,,0,0,,0,4,,0,0,4.0000,5.0000,9.0000,2,0,0,2.6,5.4,,,,,,,,,,
16.7499726559,-87.98319813,5,17,2017,5893.508968,4420.131726,1473.377242,,,,5Gyres Belize,Not adjusted,,,,,,,0.001357426,3.00,2.00,,0,0,,0,0,,1,0,,2,0,6.0000,2.0000,8.0000,2,0,0,2.4,5.5,,,,,,,,,,
16.7564726582,-87.76093138,5,18,2017,4079.12894,0,4079.12894,,,,5Gyres Belize,Not adjusted,,,,,,,0.001225752,0.00,5.00,,0,0,,0,0,,0,0,,0,0,0.0000,5.0000,5.0000,3,0,0,2.4,12.5,,,,,,,,,,
17.1022061151,-87.632648,5,18,2017,1484.106142,1484.106142,0,,,,5Gyres Belize,Not adjusted,,,,,,,0.001347613,2.00,0.00,,0,0,,0,0,,0,0,,0,0,2.0000,0.0000,2.0000,3.5,0,0,2.7,12.5,,,,,,,,,,
17.2356228295,-87.60864799,5,19,2017,983.313371,983.313371,0,,,,5Gyres Belize,Not adjusted,,,,,,,0.00101697,1.00,0.00,,0,0,,0,0,,0,0,,0,0,1.0000,0.0000,1.0000,2,E,Slight,2.3,12.5,,,,,,,,,,
17.4786895831,-87.62226466,5,19,2017,0,0,0,,,,5Gyres Belize,Not adjusted,,,,,,,NA,0.00,0.00,,0,0,,0,0,,0,0,,0,0,0.0000,0.0000,0.0000,4,E,1,2.7,18,,,,,,,,,,
16.5028725675,-88.21478154,5,21,2017,10205.37111,7804.107323,2401.263792,,,,5Gyres Belize,Not adjusted,,,,,,,0.001665789,10.00,0.00,,0,0,,0,0,,3,4,,0,0,13.0000,4.0000,17.0000,2,0,0,3,20,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
