Latitude,Longitude,Month,Day,Year,pieces/km^2,micro,macro,g/km^2,micro,macro,Source,Note,#Fibers,#nonFibers,#total items,Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.206,0.257,6,4,2013,4917,,,3,,,Cozar 2017,Unsure if adjusted probably adjusted,4,3,7,Tara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.994,2.165,6,5,2013,6878,,,5.4,,,Cozar 2017,Unsure if adjusted probably adjusted,6,10,16,Tara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.369,3.731,6,6,2013,2884,,,5.1,,,Cozar 2017,Unsure if adjusted probably adjusted,9,4,13,Tara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.168,3.91,6,8,2013,133815,,,39.6,,,Cozar 2017,Unsure if adjusted probably adjusted,7,316,323,Tara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.072,2.087,6,9,2013,112614,,,130.2,,,Cozar 2017,Unsure if adjusted probably adjusted,9,14,23,Tara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.049,38.691,6,30,13,63093,,,64.7,,,Cozar 2017,Unsure if adjusted probably adjusted,0,9,9,Tara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.604,44.136,7,2,2013,236952,,,319.7,,,Cozar 2017,Unsure if adjusted probably adjusted,0,41,41,Tara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.389,47.137,7,3,2013,239525,,,323.9,,,Cozar 2017,Unsure if adjusted probably adjusted,0,101,101,Tara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.952,51.927,7,4,2013,30505,,,86.3,,,Cozar 2017,Unsure if adjusted probably adjusted,5,27,32,Tara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.582,58.474,7,5,2013,317091,,,454.6,,,Cozar 2017,Unsure if adjusted probably adjusted,16,94,110,Tara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.756,65.405,7,13,13,76152,,,90.7,,,Cozar 2017,Unsure if adjusted probably adjusted,3,102,105,Tara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.982,67.8,7,6,2013,64756,,,66.7,,,Cozar 2017,Unsure if adjusted probably adjusted,13,16,29,Tara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.912,71.746,7,14,13,68568,,,71.5,,,Cozar 2017,Unsure if adjusted probably adjusted,1,12,13,Tara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.439,75.731,8,5,2013,26568,,,50.8,,,Cozar 2017,Unsure if adjusted probably adjusted,6,9,15,Tara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.673,60.99,8,11,2013,10241,,,7.2,,,Cozar 2017,Unsure if adjusted probably adjusted,15,2,17,Tara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.203,66.575,7,10,2013,3762,,,0.8,,,Cozar 2017,Unsure if adjusted probably adjusted,25,4,29,Tara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.015,69.71,8,6,2013,1777,,,7.6,,,Cozar 2017,Unsure if adjusted probably adjusted,3,2,5,Tara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.256,73.256,7,15,13,0,,,0,,,Cozar 2017,Unsure if adjusted probably adjusted,9,0,9,Tara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.082,74.263,8,12,2013,0,,,0,,,Cozar 2017,Unsure if adjusted probably adjusted,11,0,11,Tara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.973,78.509,8,4,2013,0,,,0,,,Cozar 2017,Unsure if adjusted probably adjusted,1,0,1,Tara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
