Latitude ,Longitude ,Month,Day,Year,#/km2,Microplastics #/km^2,Macroplastics # /km^2,Total Wieght (g)/km^2,Microplastics Weight (g)/ km^2,Macroplastics Weight (g) /km^2,Source,Notes,Mesh Size,Conc
13.27,-61.47,12,8,1987,0,,,,,,SEA Education,Not adjusted,333um,13.27-61.4712819870SEA EducationNot adjusted333um
13.27,-61.47,12,8,1987,0,,,,,,SEA Education,Not adjusted,333um,13.27-61.4712819870SEA EducationNot adjusted333um
12.5,-62.03,12,12,1987,0,,,,,,SEA Education,Not adjusted,333um,12.5-62.03121219870SEA EducationNot adjusted333um
12.5,-62.03,12,12,1987,0,,,,,,SEA Education,Not adjusted,333um,12.5-62.03121219870SEA EducationNot adjusted333um
12.27,-67.5,12,14,1987,0,,,,,,SEA Education,Not adjusted,333um,12.27-67.5121419870SEA EducationNot adjusted333um
12.27,-67.5,12,14,1987,0,,,,,,SEA Education,Not adjusted,333um,12.27-67.5121419870SEA EducationNot adjusted333um
11.94,-68.26,12,15,1987,0,,,,,,SEA Education,Not adjusted,333um,11.94-68.26121519870SEA EducationNot adjusted333um
11.94,-68.26,12,15,1987,0,,,,,,SEA Education,Not adjusted,333um,11.94-68.26121519870SEA EducationNot adjusted333um
16.36,-84.47,12,28,1987,540,,,,,,SEA Education,Not adjusted,333um,16.36-84.4712281987540SEA EducationNot adjusted333um
16.36,-84.47,12,28,1987,540,,,,,,SEA Education,Not adjusted,333um,16.36-84.4712281987540SEA EducationNot adjusted333um
16.23,-86.26,12,28,1987,0,,,,,,SEA Education,Not adjusted,333um,16.23-86.26122819870SEA EducationNot adjusted333um
16.23,-86.26,12,28,1987,0,,,,,,SEA Education,Not adjusted,333um,16.23-86.26122819870SEA EducationNot adjusted333um
38.87,-68.88,5,26,1989,0,,,,,,SEA Education,Not adjusted,333um,38.87-68.8852619890SEA EducationNot adjusted333um
38.87,-68.88,5,26,1989,0,,,,,,SEA Education,Not adjusted,333um,38.87-68.8852619890SEA EducationNot adjusted333um
43.44,-65.19,6,16,1989,491,,,,,,SEA Education,Not adjusted,333um,43.44-65.196161989491SEA EducationNot adjusted333um
43.44,-65.19,6,16,1989,491,,,,,,SEA Education,Not adjusted,333um,43.44-65.196161989491SEA EducationNot adjusted333um
41.6,-66.48,7,21,1989,4320,,,,,,SEA Education,Not adjusted,333um,41.6-66.4872119894320SEA EducationNot adjusted333um
41.6,-66.48,7,21,1989,4320,,,,,,SEA Education,Not adjusted,333um,41.6-66.4872119894320SEA EducationNot adjusted333um
43.8,-63.19,7,22,1989,1028,,,,,,SEA Education,Not adjusted,333um,43.8-63.1972219891028SEA EducationNot adjusted333um
43.8,-63.19,7,22,1989,1028,,,,,,SEA Education,Not adjusted,333um,43.8-63.1972219891028SEA EducationNot adjusted333um
44.49,-61.11,7,24,1989,1080,,,,,,SEA Education,Not adjusted,333um,44.49-61.1172419891080SEA EducationNot adjusted333um
44.49,-61.11,7,24,1989,1080,,,,,,SEA Education,Not adjusted,333um,44.49-61.1172419891080SEA EducationNot adjusted333um
45.41,-58.64,7,25,1989,0,,,,,,SEA Education,Not adjusted,333um,45.41-58.6472519890SEA EducationNot adjusted333um
45.41,-58.64,7,25,1989,0,,,,,,SEA Education,Not adjusted,333um,45.41-58.6472519890SEA EducationNot adjusted333um
46.29,-57.62,7,25,1989,522,,,,,,SEA Education,Not adjusted,333um,46.29-57.627251989522SEA EducationNot adjusted333um
46.29,-57.62,7,25,1989,522,,,,,,SEA Education,Not adjusted,333um,46.29-57.627251989522SEA EducationNot adjusted333um
47.41,-56.17,7,27,1989,0,,,,,,SEA Education,Not adjusted,333um,47.41-56.1772719890SEA EducationNot adjusted333um
47.41,-56.17,7,27,1989,0,,,,,,SEA Education,Not adjusted,333um,47.41-56.1772719890SEA EducationNot adjusted333um
43.09,-67.49,8,17,1989,0,,,,,,SEA Education,Not adjusted,333um,43.09-67.4981719890SEA EducationNot adjusted333um
