Latitude Decimal Degrees,Longitude Decmal Degrees,Month,Day,YEAR,Total Pieces >500um,micro,macro,weight,micro,macro,Source,Note,"Pieces/km^2, Mesh Size 1mm ",Pieces/km^2 Mesh Size 0.71mm,"Pieces/km^2, Mesh Size 0.5mm","Pieces/km^2, Mesh Size 0.25mm","Pieces/km^2, Mesh Size 0.053mm",Area m^2,Mesh.Size
43.01666667,172,10,16,1987,42000,42000,0,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",0,0,0,42000,0,119,53
44.66666667,170.9833333,10,18,1987,278100,264900,13200,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",13200,0,92700,132500,39700,151,53
43,170.8666667,10,18,1987,61200,56800,4400,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",4400,4400,21800,0,30600,229,53
43,169.75,10,21,1987,41500,31100,10400,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",10400,5200,5200,15500,5200,193,53
44.68333333,169.7166667,10,21,1987,594900,594900,0,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",0,0,82100,261500,251300,195,53
43,167.4333333,10,23,1987,99100,94800,4300,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",4300,8600,17200,30200,38800,232,53
43,167.45,10,24,1987,92900,92900,0,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",0,3600,10700,35700,42900,280,53
44.68333333,166.1833333,10,24,1987,67300,67300,0,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",0,4800,33700,28800,0,208,53
43,,10,25,1987,11700,7800,3900,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",3900,7800,0,0,0,255,53
44.68333333,163.7333333,10,26,1987,80300,76800,3500,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",3500,7000,10500,27900,31400,287,53
44.66666667,150.0166667,10,30,1987,36500,21300,15200,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",15200,0,3000,6100,12200,328,53
44.66666667,146.9333333,10,31,1987,27900,23900,4000,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",4000,19900,0,0,4000,251,53
44.66666667,146.4,11,1,1987,153600,139300,14300,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",14300,3600,7100,75000,53600,280,53
43.25,142.2166667,11,1,1987,37900,31000,6900,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",6900,0,10300,13800,6900,290,53
46,170,7,27,1987,11900,11900,0,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",0,0,7900,4000,0,252,53
44.01666667,169.9833333,7,27,1987,75100,45700,29400,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",29400,6500,3300,9800,26100,306,53
40,170,7,29,1987,103800,38400,65400,,,,Day 1989,"Not Likely adjusted, Used numbers from sum data. There was another segment in the paper where sums were made that did not add up to the correct sums, many were off by 1%.  500um net",65400,19200,11500,7700,0,260,53
