Station Number,Day,Month,Year,Lat,Lon,nkm2,gkm2
1,21,7,1986,25,-160,8600,21.6
2,22,7,1986,28.33,-162.33,11330,1048.5
3,23,7,1986,31.66,-164.83,20500,423.2
4,24,7,1986,34.83,-167,3800,95.4
5,25,7,1986,38,-169.5,5000,39.8
6,26,7,1986,40,-170,6500,25.9
7,26,7,1986,42,-170,3200,35.6
8,28,7,1986,41.5,-172,3200,16.2
9,29,7,1986,40,-172,187700,255.7
10,30,7,1986,39,-173,9700,22.7
11,30,7,1986,39.75,-175,3200,93.9
12,31,7,1986,42,-175,26600,166.1
13,2,8,1986,41,-179.5,157300,251.8
14,5,8,1986,40,177.5,8100,81
15,5,8,1986,40,174.5,202700,312.3
16,6,8,1986,40,171.5,165000,3941.8
17,7,8,1986,40,168.5,181200,278.3
18,7,8,1986,40,165.5,17100,47.8
19,9,8,1986,41,160,9300,74.1
20,10,8,1986,43,160,0,0
21,10,8,1986,43.83,158.75,12900,30.2
22,11,8,1986,42.58,157,14000,87.4
23,12,8,1986,40.5,157,35600,524.3
24,13,8,1986,40.08,154.33,19100,38.2
25,15,8,1986,41.33,153,24300,76.9
26,16,8,1986,40.33,150.5,23100,32.4
