Latitude,Longitude,Month,Day,Year,Pieces/km^2,micro,macro,Weight,micro,macro,source,Note,,#/m^3,mg/m^3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.4340000000,-167.9600000000,5,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.7740000000,-167.3510000000,5,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.8990000000,-167.4190000000,5,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.7990000000,-166.8280000000,5,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.9070000000,-166.4380000000,5,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.8070000000,-165.8600000000,5,NA,2006,210322.58,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0326,0.0326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.8210000000,-164.8840000000,5,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.7280000000,-164.7510000000,5,NA,2006,429677.42,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0666,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.4240000000,-162.9470000000,5,NA,2006,675483.87,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.1047,0.4058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.7610000000,-162.7700000000,5,NA,2006,169677.42,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0263,0.0026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.1180000000,-161.6080000000,5,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.4570000000,-161.4240000000,5,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.2780000000,-159.6620000000,9,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.3450000000,-161.8010000000,9,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0010000000,-161.9900000000,9,NA,2006,215483.87,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0334,0.0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.4190000000,-162.9400000000,9,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.4060000000,-163.9470000000,9,NA,2006,2620000,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.4061,0.2031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.2860000000,-164.3320000000,9,NA,2006,160645.16,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.0249,0.0796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.9310000000,-165.4790000000,9,NA,2006,908387.1,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.1408,0.1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.4720000000,-166.0360000000,9,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.3570000000,-166.4220000000,9,NA,2006,750322.58,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0.1163,0.2714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.7900000000,-166.8290000000,9,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0200000000,-132.2900000000,4,NA,2006,0,,,,,,Doyle 2011,Unadjusted for wind or sea state no day of year,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
