Latitude,Longitude,Month,Day,Year,Total pieces/km^2,Micro,Macro,Total Weight,micro,macro,Source,Info,Mesh Size,Count/km^2 .335-.999 mm,Count/km^2 1.00-4.75 mm,Count/km^2 4.75-200 mm,Count/km^2 >200 mm,total/km^2,g/km^2 .335-.999 mm,g/km^2 1.00-4.75 mm,g/km^2 4.75-200 mm,g/km^2 >200 mm,Sea State (Beaufort Scale),INFO
-17.887,-25.086,9,3,2010,1816.80,1816.80,0.00,1.09,1.09,0.00,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,"1,816.80",0,0,,"1,816.80",1.09,0,0,,3,SAG10-10
-33.1342,-81.2382,3,28,2011,1090.16,1090.16,0.00,0.33,0.33,0.00,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,"1,090.16",0,0,,"1,090.16",0.33,0,0,,3,SPG11-SM001
-33.1071,-82.387,3,28,2011,0.00,0.00,0.00,0.00,0.00,0.00,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,,0.00,0,0,0,,3,SPG11-SM003
-33.0195,-83.4213,3,29,2011,0.00,0.00,0.00,0.00,0.00,0.00,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,,0.00,0,0,0,,2,SPG11-SM005
-32.7309,-86.3835,3,30,2011,1858.23,1486.58,371.65,1.48,0.74,0.74,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,"1,486.58",0,371.65,,"1,858.23",0.74,0,0.74,,1.5,SPG11-SM011
-32.5685,-87.4243,3,30,2011,1168.03,1168.03,0.00,1.17,1.17,0.00,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,"1,168.03",0,0,,"1,168.03",1.17,0,0,,1,SPG11-SM013
-26.3318,-115.7358,4,17,2011,527.50,0.00,527.50,8.44,0.00,8.44,M. Eriksen,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,527.5,,527.50,0,0,8.44,,3,SPG11-SM070
43.063,5.8787,7,30,2010,0.00,0.00,0.00,0.00,0.00,0.00,F.Galgani,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,,0.00,,,,,6,MED10-27
43.3181,5.1862,7,31,2010,0.00,0.00,0.00,0.00,0.00,0.00,F.Galgani,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,,0.00,,,,,4,MED10-28
43.3203,5.1988,7,31,2010,0.00,0.00,0.00,0.00,0.00,0.00,F.Galgani,Unsure if adjusted. macro micro separated at 4.75mm,335um,0,0,0,,0.00,,,,,4,MED10-29
