"","Latitude","Longitude","Month","Day","Year","X..km2","Microplastics...km.2","Macroplastics....km.2","Total.Wieght..g..km.2","Microplastics.Weight..g...km.2","Macroplastics.Weight..g...km.2","Source","Notes","Mesh.Size","TopLim","Ship","CruiseNo","CruiseNoCode","StationNo","TimeLocal","TimeLocalFormatted","MonthUTC","DayUTC","YearUTC","TowAreaM2","CountPlasticFragments","CountPlasticPellets","CountTotalPlastics","FragmentDensityNoSqKm","PelletDensityNoSqKm","u10Mps","v10Mps","CutOff"
"1",30.17498707,-60.04164093,10,12,1971,601,NA,NA,37.7,NA,NA,"Carpenter 1972","Not Corrected","330um",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",30.32332034,-60.01497428,10,12,1971,4877,NA,NA,251.9,NA,NA,"Carpenter 1972","Not Corrected","330um",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",30.92665341,-59.95164097,10,12,1971,1457,NA,NA,70.2,NA,NA,"Carpenter 1972","Not Corrected","330um",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",31.86165301,-60.62997402,10,13,1971,1081,NA,NA,60,NA,NA,"Carpenter 1972","Not Corrected","330um",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",32.41998611,-60.24330751,10,13,1971,4324,NA,NA,395.1,NA,NA,"Carpenter 1972","Not Corrected","330um",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",33.54165229,-62.51497321,10,14,1971,2579,NA,NA,103.3,NA,NA,"Carpenter 1972","Not Corrected","330um",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",34.36331861,-62.88330638,10,14,1971,12080,NA,NA,1770.7,NA,NA,"Carpenter 1972","Not Corrected","330um",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",35.25665156,-63.77163934,10,15,1971,4595,NA,NA,258.9,NA,NA,"Carpenter 1972","Not Corrected","330um",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",35.62331807,-64.34663909,10,15,1971,6994,NA,NA,201.9,NA,NA,"Carpenter 1972","Not Corrected","330um",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",37.00831747,-65.57997189,10,16,1971,47,NA,NA,0.6,NA,NA,"Carpenter 1972","Not Corrected","330um",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",37.03331746,-65.68330518,10,16,1971,270,NA,NA,4.9,NA,NA,"Carpenter 1972","Not Corrected","330um",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",18.9533,-155.7185,11,10,2007,1443.34,1443.34,0,2.16,2.16,0,"C. Moore","Corrected","335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA4750"
"13",19.8962,-155.9993,11,25,2007,725.75,725.75,0,1.27,1.27,0,"C. Moore","Corrected","335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA4750"
"14",23.5707,-164.4812,1,25,2008,1664.61,1059.3,605.31,39.35,38.52,0.83,"C. Moore","Corrected","335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA4750"
"15",19.2407,-155.1751,11,11,2007,1410.55,1253.82,156.73,7.52,3.76,3.76,"C. Moore","Corrected","335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA4750"
"16",18.9173,-155.7009,11,10,2007,2090.44,1672.35,418.09,2.3,1.88,0.42,"C. Moore","Corrected","335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA4750"
"17",24.6048,-146.387,6,21,2009,2508.51,2299.47,209.04,28.45,5.14,23.31,"C. Moore","Corrected","335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA4750"
"18",24.4147,-146.6687,6,21,2009,1893.48,1472.71,420.77,49.44,4.84,44.6,"C. Moore","Corrected","335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA4750"
"19",21.6499,-160.5483,1,23,2008,1928.42,1928.42,0,3.98,3.98,0,"C. Moore","Corrected","335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA4750"
"20",18.1587,-155.9801,11,10,2007,5101.64,5101.64,0,8.16,8.16,0,"C. Moore","Corrected","335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA4750"
"21",24.5445,-146.4777,6,21,2009,4186.99,3856.44,330.55,117.16,2.9,114.26,"C. Moore","Corrected","335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA4750"
"22",31.3132,-158.7325,9,17,2009,3073.7,1993.75,1079.95,13.21,5.32,7.89,"C. Moore","Corrected","335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA4750"
"23",39.2955,-179.7523,7,18,2009,15650.92,13564.13,2086.79,115.81,7.82,107.99,"C. Moore","Corrected","335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA4750"
"24",19.6952,-154.3368,11,12,2007,3767.01,2659.07,1107.94,35.89,10.63,25.26,"C. Moore","Corrected","335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA4750"
"25",22.0117,-160.8771,1,23,2008,4319.65,3359.73,959.92,44.4,23.76,20.64,"C. Moore","Corrected","335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA4750"
"26",19.8499,-154.435,11,12,2007,3908.48,3497.06,411.42,31.06,10.49,20.57,"C. Moore","Corrected","335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA4750"
"27",19.0713,-155.4457,11,24,2007,6363.12,4772.34,1590.78,51.36,12.5,38.86,"C. Moore","Corrected","335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA4750"
"28",19.2901,-156.0478,1,21,2008,9427.82,9427.82,0,5.14,5.14,0,"C. Moore","Corrected","335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA4750"
