YCOORD_start (longitude),XCOORD_start (latitude),Month,Day,Year,MP/km2,micro,macro,Weight,micro,macro,Source ,Note,XCOORD_mid (latitude),YCOORD_mid (longitude),XCOORD_end (latitude),YCOORD_end (longitude),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.856066,17.624028,6,24,2014,41174.44058,,,,,,Gewert 2017,Non Adjusted measurements for pieces/km^2,17.632488,58.857811,17.640949,58.859555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.922578,17.723548,6,24,2014,32882.24139,,,,,,Gewert 2017,Non Adjusted measurements for pieces/km^2,17.723487,58.939442,17.723426,58.956305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.03097,17.705737,6,24,2014,25367.5812,,,,,,Gewert 2017,Non Adjusted measurements for pieces/km^2,17.69738,59.042937,17.689016,59.054904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.905198,17.715979,6,24,2014,15575.94629,,,,,,Gewert 2017,Non Adjusted measurements for pieces/km^2,17.718421,58.879096,17.72086,58.852993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.816671,17.624063,6,25,2014,40836.39269,,,,,,Gewert 2017,Non Adjusted measurements for pieces/km^2,17.589757,58.805034,17.555474,58.793387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.76564,17.469823,6,25,2014,90102.2775,,,,,,Gewert 2017,Non Adjusted measurements for pieces/km^2,17.441809,58.759092,17.413805,58.752538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.738649,17.387611,6,25,2014,53049.82338,,,,,,Gewert 2017,Non Adjusted measurements for pieces/km^2,17.368038,58.732861,17.348471,58.72707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.717084,17.444387,6,25,2014,48218.23569,,,,,,Gewert 2017,Non Adjusted measurements for pieces/km^2,17.431471,58.736578,17.418541,58.756071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.787946,17.412513,6,25,2014,50514.7155,,,,,,Gewert 2017,Non Adjusted measurements for pieces/km^2,17.432634,58.782088,17.452749,58.776227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.320477,18.14624,7,7,2014,248404.3997,,,,,,Gewert 2017,Non Adjusted measurements for pieces/km^2,18.121398,59.320439,18.096555,59.320396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.324965,18.09189,7,7,2014,618470.5953,,,,,,Gewert 2017,Non Adjusted measurements for pieces/km^2,18.085988,59.327704,18.080085,59.330443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.320292,18.077258,7,7,2014,394791.6299,,,,,,Gewert 2017,Non Adjusted measurements for pieces/km^2,18.094077,59.318811,18.110894,59.317327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.191058,17.630229,7,9,2014,63490.58636,,,,,,Gewert 2017,Non Adjusted measurements for pieces/km^2,17.631447,59.190085,17.632665,59.189111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.190616,17.631176,7,9,2014,19733.77493,,,,,,Gewert 2017,Non Adjusted measurements for pieces/km^2,17.654054,59.165862,17.676899,59.141104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.139751,17.675813,7,9,2014,26867.13548,,,,,,Gewert 2017,Non Adjusted measurements for pieces/km^2,17.672345,59.112,17.668883,59.084249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.083558,17.667808,7,9,2014,23951.76425,,,,,,Gewert 2017,Non Adjusted measurements for pieces/km^2,17.681034,59.065774,17.694247,59.047989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.047329,17.703805,7,9,2014,208869.7623,,,,,,Gewert 2017,Non Adjusted measurements for pieces/km^2,17.705709,59.046441,17.707613,59.045552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.891336,17.953471,7,11,2014,25252.65182,,,,,,Gewert 2017,Non Adjusted measurements for pieces/km^2,17.955498,58.899024,17.957525,58.906712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.899485,17.957762,7,11,2014,107206.6355,,,,,,Gewert 2017,Non Adjusted measurements for pieces/km^2,17.954551,58.898787,17.95134,58.898088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.899369,17.95873,7,11,2014,44743.29618,,,,,,Gewert 2017,Non Adjusted measurements for pieces/km^2,17.958737,58.900028,17.958744,58.900687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.893103,17.55143,7,11,2014,127024.3606,,,,,,Gewert 2017,Non Adjusted measurements for pieces/km^2,17.554738,58.883809,17.558044,58.874515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
