Latitude (º),Longitude (º),Month,Day,Year,piece/km^2,micro, macro,Weight,micro,macro,Source,Note,Mesh,mg/m^2
1.266,-102.9,9,21,1999,103225.8065,,,,,,Goldstien,Not Corrected,505,
2.9,-96.583,9,22,1999,83870.96774,,,,,,Goldstien,Not Corrected,505,
4.083,-87,10,10,1999,122580.6452,,,,,,Goldstien,Not Corrected,505,
1.466,-88.683,10,11,1999,0,,,,,,Goldstien,Not Corrected,505,
1.45,-87.033,11,10,1999,38709.67742,,,,,,Goldstien,Not Corrected,505,
32.5597,-118.1644,8,2,2009,2000,,,,,,Goldstien,Not Corrected,333,0.002
32.4783,-119.1433,8,2,2009,25000,,,,,,Goldstien,Not Corrected,333,0.001
32.4016,-119.9918,8,3,2009,7000,,,,,,Goldstien,Not Corrected,333,0.013
32.4243,-119.9639,8,3,2009,8000,,,,,,Goldstien,Not Corrected,333,0.004
32.422,-119.9844,8,3,2009,23000,,,,,,Goldstien,Not Corrected,333,0.004
32.4016,-119.9682,8,3,2009,7000,,,,,,Goldstien,Not Corrected,333,0.001
32.4061,-119.938,8,3,2009,4000,,,,,,Goldstien,Not Corrected,333,0.002
32.4129,-119.961,8,3,2009,19000,,,,,,Goldstien,Not Corrected,333,0.001
32.4112,-119.9804,8,3,2009,0,,,,,,Goldstien,Not Corrected,333,0
32.4279,-120.0601,8,3,2009,7000,,,,,,Goldstien,Not Corrected,333,0.001
32.3786,-121.2014,8,4,2009,12000,,,,,,Goldstien,Not Corrected,333,0.001
32.3607,-122.3124,8,4,2009,0,,,,,,Goldstien,Not Corrected,333,0
32.3457,-123.3533,8,4,2009,4000,,,,,,Goldstien,Not Corrected,333,0
32.328,-124.3471,8,5,2009,33000,,,,,,Goldstien,Not Corrected,333,0.003
32.3087,-125.2308,8,5,2009,15000,,,,,,Goldstien,Not Corrected,333,0.001
32.2885,-126.2803,8,5,2009,19000,,,,,,Goldstien,Not Corrected,333,0.008
32.2584,-127.3653,8,5,2009,32000,,,,,,Goldstien,Not Corrected,333,0.016
32.2454,-128.3595,8,6,2009,54000,,,,,,Goldstien,Not Corrected,333,0.143
32.2225,-129.1759,8,6,2009,21000,,,,,,Goldstien,Not Corrected,333,0.036
32.2103,-130.245,8,6,2009,241000,,,,,,Goldstien,Not Corrected,333,0.264
32.1763,-131.4177,8,6,2009,33000,,,,,,Goldstien,Not Corrected,333,0.043
32.1733,-132.3321,8,7,2009,167000,,,,,,Goldstien,Not Corrected,333,0.098
32.1439,-133.1823,8,7,2009,42000,,,,,,Goldstien,Not Corrected,333,0.133
32.1206,-134.2315,8,7,2009,3991000,,,,,,Goldstien,Not Corrected,333,0.704
