Lat (Dec °N),Lon (Dec °E),Month,Day,Year,Total Plastic (items km-2)  ,Pieces<5mm/km^2,Pieces>5mm/km^2,Total Weight (g)/km^2,Weight (g) <5mm/ km^2,Weight (g) >5mm/km^2,Source,Note,,Tow Distance area (m2),Wind Speed (knots),Sea Cond (wave height),Plastic fragments (#),Plastic pellets (#),Total plastics (#),Fragment density (#/km2),Pellet density (#/km2)
33.01,-126.39,4,28,2014,6291,,,,,,"Ocean Research Project, Plastic Tow Log 2014-2015","Not Adjusted numbers, Have data on wind and wave and speed",,3974,10.0,2,25,0,25,6291,0
32.39,-128.77,4,29,2014,27362,,,,,,"Ocean Research Project, Plastic Tow Log 2014-2015","Not Adjusted numbers, Have data on wind and wave and speed",,2741,10.0,2,75,0,75,27362,0
32.09,-130.67,4,30,2014,41855,,,,,,"Ocean Research Project, Plastic Tow Log 2014-2015","Not Adjusted numbers, Have data on wind and wave and speed",,1768,3.0,0,74,0,74,41855,0
31.84,-132.26,5,1,2014,120590,,,,,,"Ocean Research Project, Plastic Tow Log 2014-2015","Not Adjusted numbers, Have data on wind and wave and speed",,1899,3.0,0,229,0,229,120590,0
17.756867,-146.223,5,11,2014,0,,,,,,"Ocean Research Project, Plastic Tow Log 2014-2015","Not Adjusted numbers, Have data on wind and wave and speed",,2334,8.5,3,See note,,,,0
17.677183,-151.230917,5,13,2014,386,,,,,,"Ocean Research Project, Plastic Tow Log 2014-2015","Not Adjusted numbers, Have data on wind and wave and speed",,2591,9.0,2,1,0,1,385.9513701,0
17.5198,-152.62565,5,14,2014,1434,,,,,,"Ocean Research Project, Plastic Tow Log 2014-2015","Not Adjusted numbers, Have data on wind and wave and speed",,2789,7.0,2,4,0,4,1434.205809,0
18.438217,-161.516233,5,18,2014,2590,,,,,,"Ocean Research Project, Plastic Tow Log 2014-2015","Not Adjusted numbers, Have data on wind and wave and speed",,2703,7.0,2,7,0,7,2589.715131,0
18.091,-163.300367,5,19,2014,2820,,,,,,"Ocean Research Project, Plastic Tow Log 2014-2015","Not Adjusted numbers, Have data on wind and wave and speed",,2482,4.0,1,7,0,7,2820.306205,0
30.833383,-133.437533,5,2,2014,70819,,,,,,"Ocean Research Project, Plastic Tow Log 2014-2015","Not Adjusted numbers, Have data on wind and wave and speed",,2344,12.5,3,166,3,166,70819,1280
17.43145,-164.8031,5,20,2014,1368,,,,,,"Ocean Research Project, Plastic Tow Log 2014-2015","Not Adjusted numbers, Have data on wind and wave and speed",,2923,2.5,1,4,0,4,1368.457065,0
15.645717,-168.115833,5,22,2014,11405,,,,,,"Ocean Research Project, Plastic Tow Log 2014-2015","Not Adjusted numbers, Have data on wind and wave and speed",,2455,6.0,2,28,0,28,11405.29532,0
14.8685,-171.175517,5,23,2014,445,,,,,,"Ocean Research Project, Plastic Tow Log 2014-2015","Not Adjusted numbers, Have data on wind and wave and speed",,2248,7.0,1,1,0,1,444.8398577,0
15.484583,-169.36005,5,24,2014,4255,,,,,,"Ocean Research Project, Plastic Tow Log 2014-2015","Not Adjusted numbers, Have data on wind and wave and speed",,235,8.0,2,1,0,1,4255.319149,0
15.755383,-173.848567,5,28,2014,0,,,,,,"Ocean Research Project, Plastic Tow Log 2014-2015","Not Adjusted numbers, Have data on wind and wave and speed",,2149,7.5,2,See note,,,,0
28.256567,-134.544267,5,3,2014,22391,,,,,,"Ocean Research Project, Plastic Tow Log 2014-2015","Not Adjusted numbers, Have data on wind and wave and speed",,2769,11.0,4,62,0,62,22390.75479,0
25.4366,-136.363817,5,5,2014,4258,,,,,,"Ocean Research Project, Plastic Tow Log 2014-2015","Not Adjusted numbers, Have data on wind and wave and speed",,2818,13.0,3,12,0,12,4258.339248,0
23.910737,-137.63195,5,6,2014,0,,,,,,"Ocean Research Project, Plastic Tow Log 2014-2015","Not Adjusted numbers, Have data on wind and wave and speed",,1807,15.0,3,See note,0,,,0
18.794317,-142.002933,5,8,2014,0,,,,,,"Ocean Research Project, Plastic Tow Log 2014-2015","Not Adjusted numbers, Have data on wind and wave and speed",,2563,13.5,3,See note,,,,0
22.318167,161.272317,6,11,2014,13704,,,,,,"Ocean Research Project, Plastic Tow Log 2014-2015","Not Adjusted numbers, Have data on wind and wave and speed",,2335,5.0,0,32,0,32,13704.49679,0
