Latitude,Longitude,Month,Day,Year,Pieces/km^2,micro,macro,Weight,micro,macro,Source,Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.78341667,34.64183333,7,7,2015,118480,,,,,,Olgac 2017,Not Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.74955,34.63085,7,6,2015,107231,,,,,,Olgac 2017,Not Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.66993333,34.5113,7,6,2015,108843,,,,,,Olgac 2017,Not Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.47093333,34.17735,7,6,2015,75036,,,,,,Olgac 2017,Not Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.25308333,34.00588333,7,6,2015,120660,,,,,,Olgac 2017,Not Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.57598333,34.299,7,6,2015,32107,,,,,,Olgac 2017,Not Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.23965,33.89603333,7,6,2015,53689,,,,,,Olgac 2017,Not Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.69478333,34.91631667,7,7,2015,16339,,,,,,Olgac 2017,Not Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.71343333,34.7944,7,7,2015,167183,,,,,,Olgac 2017,Not Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.66355,34.72016667,7,7,2015,65654,,,,,,Olgac 2017,Not Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.70668333,34.88643333,7,7,2015,520213,,,,,,Olgac 2017,Not Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.78465,34.7251,7,7,2015,222568,,,,,,Olgac 2017,Not Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.4593,35.33315,7,8,2015,135322,,,,,,Olgac 2017,Not Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.76915,35.80875,7,9,2015,143165,,,,,,Olgac 2017,Not Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.61416667,36.14533333,7,8,2015,61799,,,,,,Olgac 2017,Not Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.83366667,36.12863333,7,8,2015,132527,,,,,,Olgac 2017,Not Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.55413333,35.5636,7,8,2015,306295,,,,,,Olgac 2017,Not Adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.197616,-109.410301,4,1,2015,68431,,,,,,Ory 2017,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.201033,-109.423450,4,1,2015,149326,,,,,,Ory 2017,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.196475,-109.447479,4,1,2015,83472,,,,,,Ory 2017,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.146861,-109.296917,4,7,2015,27675,,,,,,Ory 2017,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.179981,-109.349959,4,7,2015,29375,,,,,,Ory 2017,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.063167,-109.420308,4,8,2015,33472,,,,,,Ory 2017,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.04306,-70.95457,10,13,2015,0,,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.99875,-70.90543,10,14,2015,0,,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.99938,-70.96796,10,14,2015,0,,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.99761,-71.17755,10,14,2015,0,,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.99339,-71.69374,10,15,2015,0,,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.05758,-76.01975,10,16,2015,"3,803",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.05913,-76.03883,10,16,2015,"14,999",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.00049,-77.52962,10,17,2015,"7,605",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.00323,-77.51412,10,17,2015,0,,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.00272,-79.01383,10,17,2015,0,,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.99274,-80.58564,10,18,2015,"7,605",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.00726,-80.57906,10,18,2015,"9,545",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.99447,-80.58385,10,18,2015,"9,545",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.00218,-82.01790,10,19,2015,0,,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.01098,-83.49613,10,19,2015,"3,803",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.00978,-83.54816,10,19,2015,0,,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.01542,-83.55402,10,19,2015,0,,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.00542,-86.51440,10,20,2015,"2,852",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.02234,-89.46628,10,21,2015,"2,852",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.02219,-89.56717,10,21,2015,"5,113",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.02439,-89.57097,10,21,2015,"16,362",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.99961,-92.57644,10,22,2015,0,,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.00686,-96.39658,10,23,2015,"14,245",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.00725,-98.58904,10,24,2015,"11,408",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.00157,-98.65132,10,24,2015,"18,817",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.01977,-98.63452,10,24,2015,"14,317",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.99854,-101.52772,10,25,2015,"8,556",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.99759,-101.60269,10,25,2015,"3,068",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.00661,-101.59784,10,25,2015,"9,204",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.99475,-104.54404,10,26,2015,"5,704",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.99990,-104.58617,10,26,2015,"30,679",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.99990,-104.53577,10,26,2015,"7,159",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.01300,-107.57014,10,27,2015,"17,111",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.02022,-107.57399,10,27,2015,"3,068",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.01313,-107.57368,10,27,2015,"6,136",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.20366,-109.35223,10,29,2015,"8,556",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.10583,-109.21083,10,29,2015,"11,408",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.12304,-109.21791,10,29,2015,"23,521",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.10722,-109.22171,10,29,2015,"11,249",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.05576,-109.28184,10,29,2015,"25,667",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.06893,-109.32339,10,29,2015,"8,766",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.05727,-109.32259,10,29,2015,"10,226",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.15432,-109.46261,10,28,2015,"19,013",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.15046,-109.45715,10,28,2015,"8,181",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.15123,-109.44624,10,28,2015,"53,178",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.16785,-109.47630,10,28,2015,"6,338",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.19407,-109.04188,10,31,2015,"11,408",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.49316,-105.64031,11,2,2015,"2,852",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.50297,-105.58450,11,2,2015,"9,204",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.50942,-105.58169,11,2,2015,"8,181",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.49344,-105.42178,11,2,2015,"19,839",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.47907,-105.36909,11,2,2015,"3,896",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.47547,-105.36776,11,2,2015,"2,922",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.46663,-105.38905,11,4,2015,"25,926",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.47141,-105.34675,11,4,2015,"59,313",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.47041,-105.35747,11,4,2015,"95,106",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.45591,-105.42128,11,3,2015,"62,741",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.45324,-105.36645,11,3,2015,"7,159",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.46396,-105.36589,11,3,2015,"12,272",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.44940,-105.37079,11,3,2015,"19,963",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.41981,-105.35823,11,3,2015,"18,408",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.42608,-105.35976,11,3,2015,"23,375",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.48333,-105.38333,11,4,2015,"48,889",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.48213,-105.37127,11,4,2015,"14,317",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.47898,-105.36417,11,4,2015,"22,498",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-27.17596,-109.04031,11,1,2015,"8,556",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.34210,-105.41520,11,1,2015,"15,340",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-26.33590,-105.41420,11,1,2015,"9,204",,,,,,Theil 2015,Not adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
