DD Start Lat,DD Start Lon,Month,Day,Year,Total count/ km2,Count/km2 <5mm,Count/km2 >5mm,Total weight Dens(g/km^2)  ,Micro,Macro,Source,Notes,,Stop Time,DD Stop Lat,DD Stop Lon,Total time,Sea State,Boat SOG,distance km,Distance  (start lat/long to stop in meters) go to: http://www.movable-type.co.uk/scripts/latlong.html,trawl width (meters),Total area surveyed in m2 (distance x trawl width),"Multiplier to get km2. (divide 1,000,000 by total area.)",total count of s micro pieces (0.335-0.999mm),Count/km2 s micro,total count of l micro pieces (1.0-4.74mm),Count/km2 l micro,total count of meso (4.75 - 199 mm),Count/km2 meso,Total count macro (>200 mm) ,Count/km2 macro,Total count of pieces <5mm,,total count of pieces >5mm,,Total count/km2,,Weight frag,Weight dens (g/km2) frag,Weight Pellet,Weight dens (g/km2) pellet,Weight Line,Weight dens (g/km2) line,Weight film,Weight dens (g/km2) film,Weight foam,weight dens (g/km2) foam,Weight other,Weight dens (g/km2) other,Total weight
-42.44866667,148.5209833,8,21,2013,663.6140421,663.6140421,0,0.185811932,,,Osha Rudduck,"Not corrected for wind or sea, macro micro cut off at 5mm",,11:55,-42.41085,148.5544667,60,4,,5.023,5023,0.6,3013.8,331.807021,0,0,2,663.6140421,0,0,0,0,2,,0,,2,,0.0002,0.066361404,0,0,0.00036,0.119450528,0,0,0,0,0,0,0.00056
-42.23971667,148.3631667,8,22,2013,0,0,0,0,,,Osha Rudduck,"Not corrected for wind or sea, macro micro cut off at 5mm",,13:30,-42.2,148.3888333,58,4,,4.896,4896,0.6,2937.6,340.4139434,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,
-37.36658333,150.1246333,8,25,2013,2000.40008,0,2000.40008,24.60825498,,,Osha Rudduck,"Not corrected for wind or sea, macro micro cut off at 5mm",,8:45,-37.32208333,150.1326833,60,1,2.7,4.999,4999,0.6,2999.4,333.4000133,0,0,0,0,6,2000.40008,0,0,0,,6,,6,,0.06042,20.14402881,0,0,0.00995,3.317330133,0.00344,1.146896046,0,0,0,0,0.07381
-37.1373,150.3106667,8,25,2013,0,0,0,0,,,Osha Rudduck,"Not corrected for wind or sea, macro micro cut off at 5mm",,13:10,-37.13226667,150.2651667,63,1,3,4.072,4072,0.6,2443.2,409.2992796,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,
-37.103,150.0141667,8,25,2013,414.9033275,0,414.9033275,0.319475562,,,Osha Rudduck,"Not corrected for wind or sea, macro micro cut off at 5mm",,17:45,-37.08935,149.9722333,60,1,2.5,4.017,4017,0.6,2410.2,414.9033275,0,0,0,0,1,414.9033275,0,0,0,,1,,1,,0,0,0.00077,0.319475562,0,0,0,0,0,0,0,0,0.00077
-37.09055,149.97925,8,29,2013,2327.746741,2327.746741,0,2.792520174,,,Osha Rudduck,"Not corrected for wind or sea, macro micro cut off at 5mm",,12:05,-37.08933333,149.9550833,30,3,2.3,2.148,2148,0.6,1288.8,775.9155804,0,0,3,2327.746741,0,0,0,0,3,,0,,3,,0.003599,2.792520174,0,0,0,0,0,0,0,0,0,0,0.003599
-37.0869,149.9549833,8,30,2013,1064.962726,0,1064.962726,1.24600639,,,Osha Rudduck,"Not corrected for wind or sea, macro micro cut off at 5mm",,10:20,-37.08951667,149.93765,20,3,2.2,1.565,1565,0.6,939,1064.962726,0,0,0,0,1,1064.962726,0,0,0,,1,,1,,0,0,0,0,0,0,0.00117,1.24600639,0,0,0,0,0.00117
-37.08451667,149.94735,8,31,2013,0,0,0,0,,,Osha Rudduck,"Not corrected for wind or sea, macro micro cut off at 5mm",,10:40,-37.09343333,149.9263167,30,2,2.2,2.113,2113,0.6,1267.8,788.7679445,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
-37.08221667,149.9750333,9,1,2013,0,0,0,0,,,Osha Rudduck,"Not corrected for wind or sea, macro micro cut off at 5mm",,11:10,-37.08278333,149.9438,30,1,,2.771,2771,0.6,1662.6,601.4675809,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
-33.97583333,151.1733333,9,12,2013,12212.49746,11534.02537,678.4720809,13.04362575,,,Osha Rudduck,"Not corrected for wind or sea, macro micro cut off at 5mm",,10:25,-34.00041667,151.2176167,60,0 to 1,2.5,4.913,4913,0.6,2947.8,339.2360404,12,4070.832485,22,7463.19289,2,678.4720809,0,0,34,,2,,36,,0.0129,4.376144922,0.01737,5.892530022,0,0,0,0,0.00809,2.744419567,0.00009,0.030531244,0.03845
-33.84536667,151.3109167,9,19,2013,0,0,0,0,,,Osha Rudduck,"Not corrected for wind or sea, macro micro cut off at 5mm",,9:37,-33.85926667,151.32685,30,3,2.4,2.134,2134,0.6,1280.4,781.0059356,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
-34.15408333,151.3556167,9,23,2013,936.8559116,624.5706077,312.2853039,17.57229405,,,Osha Rudduck,"Not corrected for wind or sea, macro micro cut off at 5mm",,16:22,-34.2017,151.3483,42,Force 3   1,3.8,5.337,5337,0.6,3202.2,312.2853039,1,312.2853039,1,312.2853039,1,312.2853039,0,0,2,,1,,3,,0.00168,0.52463931,0,0,,0,0.05459,17.04765474,0,0,0,0,0.05627
-34.44678333,151.47935,9,24,2013,836.4700962,836.4700962,0,0.142199916,,,Osha Rudduck,"Not corrected for wind or sea, macro micro cut off at 5mm",,10:08,-34.47806667,151.5005667,51,4,2.8,3.985,3985,0.6,2391,418.2350481,0,0,2,836.4700962,0,0,0,0,2,,0,,2,,0.00029,0.121288164,0,0,0,0,0,0,0.00005,0.020911752,0,0,0.00034
-34.70226667,151.36435,9,24,2013,356.0873126,356.0873126,0,0.261724175,,,Osha Rudduck,"Not corrected for wind or sea, macro micro cut off at 5mm",,17:35,-34.75116667,151.2809667,60,3 to 4,3.5,9.361,9361,0.6,5616.6,178.0436563,0,0,2,356.0873126,0,0,0,0,2,,0,,2,,0.00137,0.243919809,0,0,0,0,0,0,0.0001,0.017804366,0,0,0.00147
-33.85726667,151.24865,9,28,2013,21744.45669,17763.0773,3981.379395,871.4412593,,,Osha Rudduck,"Not corrected for wind or sea, macro micro cut off at 5mm",,10:40,-33.81615,151.2806,60,0 to 1,2.5,5.442,5442,0.6,3265.2,306.2599534,6,1837.559721,52,15925.51758,12,3675.119441,1,306.2599534,58,,13,,71,,0.27974,85.67315938,0.02238,6.854097758,0.0026,0.796275879,0.96179,294.5577606,0.01045,3.200416514,1.56847,480.3595492,2.84543
-33.81686667,151.2792833,9,29,2013,6926.406926,5772.005772,1154.401154,47.12842713,,,Osha Rudduck,"Not corrected for wind or sea, macro micro cut off at 5mm",,14:45,-33.85131667,151.2332667,63,2 to 3,3.5,5.775,5775,0.6,3465,288.6002886,5,1443.001443,15,4329.004329,4,1154.401154,0,0,20,,4,,24,,0.01635,4.718614719,0,0,0,0,0.14096,40.68109668,0.00599,1.728715729,,0,0.1633
-33.81691667,151.27705,10,2,2013,11298.19958,7653.619068,3644.580509,308.9656681,,,Osha Rudduck,"Not corrected for wind or sea, macro micro cut off at 5mm",,9:44,-33.85173333,151.2507,60,2,2.5,4.573,4573,0.6,2743.8,364.4580509,3,1093.374153,18,6560.244916,9,3280.122458,1,364.4580509,21,,10,,31,,0.12427,45.29120198,0,0,0.00166,0.605000364,0.71853,261.8740433,0.0013,0.473795466,0.00198,0.721626941,0.84774
-43.02833333,147.3616667,9,14,2014,617.2839506,308.6419753,308.6419753,0.216049383,,,Osha Rudduck,"Not corrected for wind or sea, macro micro cut off at 5mm",,9:53,-43.06166667,147.41,60,3,,5.4,5400,0.6,3240,308.6419753,0,0,1,308.6419753,1,308.6419753,0,0,1,,1,,2,,0.0007,0.216049383,0,0,0,0,0,0,0,0,0,0,0.0007
-42.08395,148.3698667,9,14,2014,218.4359983,0,218.4359983,4.093490607,,,Osha Rudduck,"Not corrected for wind or sea, macro micro cut off at 5mm",,9:15,-42.01533333,148.3698,60,3,3.3,7.63,7630,0.6,4578,218.4359983,0,0,0,0,1,218.4359983,0,0,0,,1,,1,,0,0,0.01874,4.093490607,0,0,0,0,0,0,,0,0.01874
-37.01681667,149.9762833,9,21,2014,433.4633723,216.7316862,216.7316862,1.827048114,,,Osha Rudduck,"Not corrected for wind or sea, macro micro cut off at 5mm",,15:40,-36.9488,149.9919667,60,2,3.4,7.69,7690,0.6,4614,216.7316862,0,0,1,216.7316862,1,216.7316862,0,0,1,,1,,2,,0,0,0,0,0,0,0.00843,1.827048114,0,0,0,0,0.00843
