Latitude (N),Longitude (E),Month,Day,Year,Debris density (#/km2),Pieces<5mm/km^2,Pieces>5mm/km^2,Total Wieght (g)/km^2,Weight (g) <5mm/ km^2,Weight (g) >5mm/km^2,Source,Notes,Tow Length (m),Area filtered (m2)
32.42,-117.18,10,12,2001,4320,,,,,,Sea Education,Not Adjusted,1852,1852
31.54,-117.18,10,12,2001,5940,,,,,,Sea Education,Not Adjusted,1852,1852
30.6,-117.47,10,12,2001,0,,,,,,Sea Education,Not Adjusted,2074,2074
29.1,-117.18,10,14,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
28.54,-116.09,10,15,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
27.8,-115.88,10,15,2001,540,,,,,,Sea Education,Not Adjusted,1852,1852
27.09,-115.61,10,16,2001,0,,,,,,Sea Education,Not Adjusted,1871,1871
26.08,-114.91,10,17,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
24.65,-113.28,10,17,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
23.06,-110.98,10,19,2001,540,,,,,,Sea Education,Not Adjusted,1852,1852
22.97,-110.49,10,20,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
22.87,-109.94,10,20,2001,2700,,,,,,Sea Education,Not Adjusted,1852,1852
24.29,-110.11,10,21,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
24.52,-109.92,10,26,2001,4320,,,,,,Sea Education,Not Adjusted,1852,1852
24.38,-109.17,10,26,2001,540,,,,,,Sea Education,Not Adjusted,1852,1852
23.8,-108.52,10,27,2001,1080,,,,,,Sea Education,Not Adjusted,1852,1852
23.28,-107.84,10,27,2001,2700,,,,,,Sea Education,Not Adjusted,1852,1852
22.47,-107.6,10,28,2001,11570,,,,,,Sea Education,Not Adjusted,1815,1815
19.12,-106.06,10,29,2001,540,,,,,,Sea Education,Not Adjusted,1852,1852
18.18,-105.82,10,30,2001,540,,,,,,Sea Education,Not Adjusted,1852,1852
17.77,-105.74,10,30,2001,540,,,,,,Sea Education,Not Adjusted,1852,1852
17.45,-104.23,10,31,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
17.25,-102.62,10,31,2001,4320,,,,,,Sea Education,Not Adjusted,1852,1852
17.04,-101.36,11,1,2001,0,,,,,,Sea Education,Not Adjusted,1908,1908
16.33,-99.24,11,1,2001,5400,,,,,,Sea Education,Not Adjusted,1852,1852
15.78,-98.47,11,1,2001,2117,,,,,,Sea Education,Not Adjusted,1889,1889
15.41,-97.89,11,3,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
14.41,-96.5,11,3,2001,1620,,,,,,Sea Education,Not Adjusted,1852,1852
13.8,-96.14,11,4,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
11.33,-93.89,11,5,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
10.26,-93.01,11,6,2001,1080,,,,,,Sea Education,Not Adjusted,1852,1852
9.43,-92.97,11,7,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
8.7,-92.56,11,7,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
6.79,-89.24,11,9,2001,540,,,,,,Sea Education,Not Adjusted,1852,1852
6.32,-87.77,11,9,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
5.89,-87.09,11,9,2001,1080,,,,,,Sea Education,Not Adjusted,1852,1852
5.59,-87.04,11,9,2001,0,,,,,,Sea Education,Not Adjusted,370,370
5.62,-86.96,11,13,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
6.97,-85.93,11,14,2001,540,,,,,,Sea Education,Not Adjusted,1852,1852
7.73,-85.75,11,14,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
7.99,-85.51,11,15,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
8.45,-85.33,11,15,2001,2160,,,,,,Sea Education,Not Adjusted,1852,1852
9.39,-84.95,11,16,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
9.71,-84.99,11,16,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
8.97,-85.23,11,28,2001,0,,,,,,Sea Education,Not Adjusted,1834,1834
7.34,-87,11,29,2001,509,,,,,,Sea Education,Not Adjusted,1963,1963
6.13,-86.51,11,29,2001,1028,,,,,,Sea Education,Not Adjusted,1945,1945
5.97,-86.73,11,30,2001,0,,,,,,Sea Education,Not Adjusted,2019,2019
5,-87.56,11,30,2001,0,,,,,,Sea Education,Not Adjusted,1909,1909
3.73,-88.07,12,1,2001,540,,,,,,Sea Education,Not Adjusted,1852,1852
3.01,-88.1,12,1,2001,0,,,,,,Sea Education,Not Adjusted,2111,2111
1.74,-89.06,12,2,2001,0,,,,,,Sea Education,Not Adjusted,2408,2408
1.15,-90.11,12,3,2001,0,,,,,,Sea Education,Not Adjusted,1871,1871
1.17,-89.33,12,3,2001,0,,,,,,Sea Education,Not Adjusted,1908,1908
0.07,-89.79,12,4,2001,0,,,,,,Sea Education,Not Adjusted,2000,2000
-0.51,-90.08,12,5,2001,0,,,,,,Sea Education,Not Adjusted,1871,1871
-0.87,-90.26,12,8,2001,0,,,,,,Sea Education,Not Adjusted,1871,1871
-1.21,-90.43,12,9,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
-1.07,-90.84,12,9,2001,0,,,,,,Sea Education,Not Adjusted,1889,1889
-1.13,-91.96,12,10,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
-0.93,-93.02,12,11,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
-0.98,-93.76,12,11,2001,0,,,,,,Sea Education,Not Adjusted,1945,1945
-1.52,-96,12,12,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
-1.84,-97.36,12,13,2001,0,,,,,,Sea Education,Not Adjusted,1889,1889
-2.04,-98.44,12,13,2001,0,,,,,,Sea Education,Not Adjusted,1537,1537
-2.2,-99.82,12,14,2001,0,,,,,,Sea Education,Not Adjusted,1667,1667
-2.33,-100.79,12,14,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
-2.53,-101.99,12,15,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
-2.97,-103.19,12,15,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
-3.54,-104.46,12,16,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
-4.02,-105.63,12,16,2001,0,,,,,,Sea Education,Not Adjusted,1908,1908
-4.44,-106.96,12,17,2001,0,,,,,,Sea Education,Not Adjusted,1741,1741
-4.67,-107.64,12,17,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
-4.83,-109.12,12,18,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
-4.98,-109.94,12,18,2001,0,,,,,,Sea Education,Not Adjusted,1667,1667
-5.73,-111.21,12,18,2001,0,,,,,,Sea Education,Not Adjusted,1296,1296
-5.73,-111.23,12,19,2001,0,,,,,,Sea Education,Not Adjusted,1463,1463
-5.76,-111.24,12,19,2001,0,,,,,,Sea Education,Not Adjusted,1408,1408
-5.77,-111.26,12,19,2001,0,,,,,,Sea Education,Not Adjusted,1037,1037
-5.78,-111.27,12,19,2001,0,,,,,,Sea Education,Not Adjusted,1167,1167
-5.79,-111.28,12,19,2001,0,,,,,,Sea Education,Not Adjusted,1204,1204
-5.81,-111.29,12,19,2001,0,,,,,,Sea Education,Not Adjusted,1519,1519
-5.98,-111.97,12,19,2001,2160,,,,,,Sea Education,Not Adjusted,1852,1852
-6.44,-113.34,12,20,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
-6.66,-113.9,12,20,2001,0,,,,,,Sea Education,Not Adjusted,2037,2037
-6.96,-115.09,12,21,2001,0,,,,,,Sea Education,Not Adjusted,1926,1926
-6.99,-115.83,12,21,2001,540,,,,,,Sea Education,Not Adjusted,1852,1852
-7.39,-117.23,12,22,2001,0,,,,,,Sea Education,Not Adjusted,1500,1500
-7.5,-118.19,12,22,2001,0,,,,,,Sea Education,Not Adjusted,2037,2037
-7.7,-119.38,12,23,2001,0,,,,,,Sea Education,Not Adjusted,1648,1648
-7.73,-120.06,12,23,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
-7.97,-121.14,12,24,2001,0,,,,,,Sea Education,Not Adjusted,2908,2908
-8.23,-122,12,24,2001,0,,,,,,Sea Education,Not Adjusted,1815,1815
-8.53,-123.12,12,25,2001,1059,,,,,,Sea Education,Not Adjusted,1889,1889
-7.92,-124.85,12,26,2001,362,,,,,,Sea Education,Not Adjusted,2760,2760
-8.13,-125.56,12,26,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
-8.56,-126.6,12,27,2001,0,,,,,,Sea Education,Not Adjusted,1889,1889
-8.69,-127.47,12,27,2001,0,,,,,,Sea Education,Not Adjusted,1926,1926
-8.67,-130.27,12,27,2001,0,,,,,,Sea Education,Not Adjusted,1852,1852
-16.96,-149.84,2,14,2002,0,,,,,,Sea Education,Not Adjusted,1852,1852
-16.32,-149.8,2,14,2002,2700,,,,,,Sea Education,Not Adjusted,1852,1852
-16.1,-149.66,2,15,2002,1080,,,,,,Sea Education,Not Adjusted,1852,1852
-15.9,-149.55,2,15,2002,509,,,,,,Sea Education,Not Adjusted,1963,1963
-16.11,-148.96,2,16,2002,0,,,,,,Sea Education,Not Adjusted,1945,1945
-15.91,-148.58,2,16,2002,0,,,,,,Sea Education,Not Adjusted,1852,1852
-15.87,-148.36,2,16,2002,535,,,,,,Sea Education,Not Adjusted,1871,1871
-15.78,-148.31,2,16,2002,0,,,,,,Sea Education,Not Adjusted,2500,2500
-15.84,-148.31,2,16,2002,0,,,,,,Sea Education,Not Adjusted,1852,1852
-15.96,-148.24,2,17,2002,0,,,,,,Sea Education,Not Adjusted,1852,1852
-15.54,-148.18,2,17,2002,1620,,,,,,Sea Education,Not Adjusted,1852,1852
-14.55,-147.82,2,18,2002,0,,,,,,Sea Education,Not Adjusted,1852,1852
-14.7,-147.8,2,18,2002,0,,,,,,Sea Education,Not Adjusted,2222,2222
-14.7,-147.8,2,18,2002,0,,,,,,Sea Education,Not Adjusted,1852,1852
-14.74,-147.8,2,18,2002,0,,,,,,Sea Education,Not Adjusted,2148,2148
-14.74,-147.8,2,18,2002,0,,,,,,Sea Education,Not Adjusted,5556,5556
-14.57,-147.24,2,20,2002,540,,,,,,Sea Education,Not Adjusted,1852,1852
-14.39,-146.61,2,20,2002,540,,,,,,Sea Education,Not Adjusted,1852,1852
-14.61,-146.42,2,20,2002,0,,,,,,Sea Education,Not Adjusted,1945,1945
