Latitude (N),Longitude (E),Month,Day,Year,Debris density (#/km2),micro,macro,Weigth,micro,macro,Source,Notes,Tow Length (m),Area filtered (m2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.62,-70.07,10,15,1986,0,,,,,,SEA Education,Not adjusted,1482,1482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.67,-69.43,10,16,1986,0,,,,,,SEA Education,Not adjusted,927,927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.45,-64.88,10,18,1986,3597,,,,,,SEA Education,Not adjusted,1390,1390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.48,-63.70,10,19,1986,3597,,,,,,SEA Education,Not adjusted,556,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.83,-61.32,10,21,1986,13492,,,,,,SEA Education,Not adjusted,1112,1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.97,-60.68,10,21,1986,17989,,,,,,SEA Education,Not adjusted,556,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.40,-60.58,10,22,1986,8099,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.52,-60.50,10,22,1986,19444,,,,,,SEA Education,Not adjusted,1800,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.87,-59.00,10,23,1986,0,,,,,,SEA Education,Not adjusted,1170,1170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.03,-58.63,10,24,1986,44444,,,,,,SEA Education,Not adjusted,1440,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.37,-57.27,10,25,1986,25795,,,,,,SEA Education,Not adjusted,1667,1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.72,-56.75,10,27,1986,0,,,,,,SEA Education,Not adjusted,1668,1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.83,-57.93,10,28,1986,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.03,-57.87,10,29,1986,0,,,,,,SEA Education,Not adjusted,1668,1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.02,-57.67,10,29,1986,0,,,,,,SEA Education,Not adjusted,741,741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.02,-58.95,10,30,1986,0,,,,,,SEA Education,Not adjusted,2316,2316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.83,-60.83,10,31,1986,0,,,,,,SEA Education,Not adjusted,1800,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.28,-61.00,10,31,1986,0,,,,,,SEA Education,Not adjusted,1800,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.13,-61.78,11,5,1986,0,,,,,,SEA Education,Not adjusted,1800,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.33,-61.25,11,6,1986,0,,,,,,SEA Education,Not adjusted,1980,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.42,-78.62,2,7,1987,1080,,,,,,SEA Education,Not adjusted,926,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.68,-77.39,2,8,1987,400,,,,,,SEA Education,Not adjusted,2500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.47,-75.28,2,9,1987,1012,,,,,,SEA Education,Not adjusted,2963,2963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.45,-73.68,2,15,1987,1080,,,,,,SEA Education,Not adjusted,926,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.67,-73.56,2,16,1987,0,,,,,,SEA Education,Not adjusted,1204,1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.00,-73.87,2,16,1987,540,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.85,-73.82,2,17,1987,0,,,,,,SEA Education,Not adjusted,1389,1389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.72,-74.12,2,17,1987,1157,,,,,,SEA Education,Not adjusted,2593,2593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.99,-73.60,2,18,1987,0,,,,,,SEA Education,Not adjusted,1389,1389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.54,-73.88,2,18,1987,3600,,,,,,SEA Education,Not adjusted,1667,1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.93,-74.64,2,19,1987,0,,,,,,SEA Education,Not adjusted,1204,1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.69,-75.06,2,19,1987,1350,,,,,,SEA Education,Not adjusted,3704,3704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.34,-75.85,2,20,1987,0,,,,,,SEA Education,Not adjusted,1667,1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.25,-76.13,2,23,1987,3780,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.20,-77.03,2,25,1987,864,,,,,,SEA Education,Not adjusted,2315,2315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.24,-77.15,2,26,1987,288,,,,,,SEA Education,Not adjusted,3473,3473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.35,-79.47,2,27,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.27,-80.22,2,28,1987,0,,,,,,SEA Education,Not adjusted,1296,1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.77,-81.33,2,28,1987,0,,,,,,SEA Education,Not adjusted,1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.72,-83.78,3,1,1987,1080,,,,,,SEA Education,Not adjusted,926,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.51,-85.08,3,1,1987,1440,,,,,,SEA Education,Not adjusted,2778,2778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.53,-85.33,3,2,1987,0,,,,,,SEA Education,Not adjusted,1037,1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.25,-85.87,3,2,1987,0,,,,,,SEA Education,Not adjusted,2343,2343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.46,-79.46,4,7,1987,309,,,,,,SEA Education,Not adjusted,3241,3241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.27,-78.23,4,8,1987,3857,,,,,,SEA Education,Not adjusted,2593,2593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.42,-76.03,4,10,1987,982,,,,,,SEA Education,Not adjusted,2037,2037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.65,-76.08,4,10,1987,2160,,,,,,SEA Education,Not adjusted,2315,2315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.70,-76.18,4,14,1987,356,,,,,,SEA Education,Not adjusted,2807,2807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
