START LAT (decdeg),START LONG (decdeg),Month,Day,Year,Count/km2 Plastics Total,Count/km2 Plastics 1-5mm,Count/km2 Plastics >5mm,Weight,Weight,Weight,Source,Note,Trawl Type,Trawl Width (m),Sea State,Current Direction,Current Speed (Knots),Avg Boat Speed (Knots),Wind Speed (Knots),Plastic <5 mm,Plastic >5 mm,TRAWL DISTANCE (m),Total Survey Area (m2),"Multiplier for km2 (divide 1,000,000 by total survey area)"
25.92083333,-79.926,6,2,2015,1015.318579,878.6410779,136.677501,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",Manta,0.6,2,NE,2.5,2.5,5,45,7,85359,51215,19.52535729
25.93186667,-77.96116667,6,3,2015,2894.178691,2894.178691,0,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",Manta,0.6,2,E,2.5,2.5,11,8,0,4607,2764,361.7723363
25.61966667,-76.64466667,6,3,2015,2211.42948,829.2860551,1382.143425,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",Manta,0.6,1 (2 ft waves),110,2.8,3.1,5,3,5,6029,3618,276.428685
24.807,-76.36916667,6,4,2015,1939.335253,1662.28736,277.0478933,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",Manta,0.6,3,180,3.6,2.8,18,6,1,6016,3609,277.0478933
24.65847833,-76.27416667,6,9,2015,1118.728796,0,1118.728796,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",Manta,0.6,1,,2,2.6,8,0,4,5959,3575,279.682199
25.77812167,-75.11581667,6,10,2015,30413.65524,22955.9007,7457.754541,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",Manta,0.6,1,,"2.5 / ""very light""",3,4,197,64,14303,8582,116.5274147
25.898255,-74.89225,6,10,2015,28673.43958,24032.65167,4640.787909,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",High Speed,0.14,2,60,7.2,8.5,10,290,56,86192,12067,82.87121265
26.42122667,-74.15668333,6,10,2015,11701.54988,10156.06216,1545.48772,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",Manta,0.6,2,60,0,3,4,46,7,7549,4529,220.78396
27.703535,-72.13183333,6,11,2015,6091.72179,4153.446675,1938.275115,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",Manta,0.6,2,NNW,0.25,3,4,15,7,6019,3611,276.896445
27.78363167,-73.0081,6,11,2015,9534.872214,6550.042652,2984.829563,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",High Speed,0.14,2,NNW,,8.6,,158,72,172300,24122,41.45596615
28.725,-70.64166667,6,11,2015,471.5557175,314.3704783,157.1852392,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",High Speed,0.14,2,,8.4,,8,6,3,136327,19086,52.39507972
29.726295,-69.05521667,6,12,2015,20199.30345,15537.92573,4661.377718,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",Manta,0.6,2,E,3,0.8,5,40,12,4291,2574,388.4481432
30.66215,-67.60043333,6,13,2015,256517.5582,239438.713,17078.84526,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",Manta,0.6,2,Little,Little,2,4,715,51,4977,2986,334.8793189
30.78591333,-67.40568333,6,13,2015,29449.70455,23851.34488,5598.359678,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",High Speed,0.14,2,,,7,5,409,96,122485,17148,58.31624664
31.45133,-66.37393333,6,13,2015,31924.50352,22065.46567,9859.037851,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",Manta,0.6,2,60,3,3,10,94,42,7100,4260,234.7389964
31.45266667,-66.37583333,6,14,2015,10623.02691,7944.9529,2678.074011,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",High Speed,0.14,3,25,6,6,12,178,60,160030,22404,44.63456685
32.17261333,-64.84073333,6,14,2015,10799.59864,8587.632651,2211.965986,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",Manta,0.6,2,,,3.1,,66,17,12809,7685,130.1156462
32.283,-64.68566667,6,18,2015,66652.85288,56006.9111,10645.94178,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",Manta,0.6,3,,,3,10,242,46,7201,4321,231.4335169
32.2545,-65.14835,6,18,2015,142134.5279,116912.8741,25221.65374,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",Manta,0.6,3,,3.7,,6.3,445,96,6344,3806,262.7255598
32.32416667,-65.30333333,6,18,2015,56971.64336,52395.40125,4576.242111,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",High Speed,0.14,3,320,5.8,6,9,1019,89,138916,19448,51.41845069
33.12301833,-66.44646667,6,19,2015,78358.248,71501.9013,6856.3467,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",Modified High Speed,0.14,3,,,8,8,438,42,43755,6126,163.24635
34.102,-66.93216667,6,19,2015,34589.90091,32187.82446,2402.076452,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",High Speed,0.14,3,341,,7,12,134,10,29736,4163,240.2076452
35.50032333,-68.48306667,6,20,2015,8385.617097,7671.947557,713.6695402,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",Manta,0.6,3,,3,3,10,43,4,9341,5605,178.417385
35.5633,-68.55496667,6,20,2015,9106.686728,8387.737776,718.9489522,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",Manta,0.6,3,,5.7,,,105,9,20864,12518,79.88321691
35.81546667,-68.82773333,6,20,2015,30789.25959,25895.60244,4893.657154,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",High Speed,0.14,,,,8.5,,889,168,245215,34330,29.12891163
40.31449167,-73.5665,6,22,2015,46639.4578,38186.05608,8453.401727,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",Manta,0.6,0-1,305,3,,,131,29,5718,3431,291.4966113
40.36155,-73.62695,6,22,2015,37150.99206,36620.2636,530.7284579,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",High Speed,0.14,0,305.4,7.6,7.6,11,207,3,40376,5653,176.909486
40.5738,-74.02906667,6,22,2015,16923.52084,13901.46354,3022.057292,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",Manta,0.6,0,346,1.5,4.5,11,69,15,8273,4964,201.4704862
40.6855,-74.04333333,6,22,2015,16168.86556,13825.55171,2343.31385,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",Manta,0.6,2,,1.5,,,59,10,7112,4267,234.331385
40.68683333,-74.03166667,6,23,2015,174416.2061,114899.7756,59516.43052,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",Manta,0.6,1,,1.2,3.1,,278,144,4032,2419,413.3085453
40.62016667,-74.05416667,6,23,2015,0,0,0,,,,5 Gyres SEA Change 2015,"Not Adjusted, Macro micro pieces cut off at 5mm",Manta,0.6,1,,3.5,2.5,,,,7308,4385,228.0485746
,,,,,,,,,,,,,,,,,,,,,,,,
