Lat,Lon,Month,Day,Year,Plastics/km^2,micro,macro,weight,micro,macro,Source,Note,Plastics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.83666667,-149.5083333,5,6,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.83666667,-149.5083333,9,14,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.12,-148.7916667,9,12,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.82833333,-148.5,9,9,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.21666667,-141.9166667,5,10,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.905,-141.0083333,9,2,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.18,-140.6483333,5,10,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.54333333,-140.1,9,1,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.735,-141.465,2,27,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.735,-141.465,5,11,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.27,-142.9866667,2,20,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.27,-142.9866667,5,12,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.27,-142.9866667,9,5,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.595,-142.825,9,5,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.75666667,-142.7416667,2,28,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.91833333,-142.6583333,9,4,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.91833333,-143.8533333,5,9,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.29166667,-145.2166667,9,7,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.45833333,-145.1916667,10,10,1974,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.45833333,-145.1916667,2,24,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.12666667,-145.1083333,9,8,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.38333333,-146.9,5,8,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.38333333,-146.9,9,8,1975,1351.351351,,,,,,Shaw 1975,Not Corrected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.45,-146.9,2,26,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.76,-146.5166667,10,9,1974,1351.351351,,,,,,Shaw 1975,Not Corrected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.82666667,-147.6883333,5,15,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,-151.7516667,10,15,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.115,-156,10,14,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.91666667,-155.735,10,13,1975,1351.351351,,,,,,Shaw 1975,Not Corrected,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.72,-155.465,10,13,1975,0,,,,,,Shaw 1975,Not Corrected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
