DD,DD,Month,Day,Year,Particles/km^2,Particles/m^2 <700um,Particles/m^2 >700um,weight,micro,macro,Source,Note,,,,Particles,Characterized Particles,Particles/m^2 >700um,Particles/m^2 <700um,Particles/m^2 Total,Particles/km^2,g/km^2 <700um,mg/m^2 <700um
42.1665,16.16667,5,9,2013,1220000,930000,290000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,322,81,0.29,0.93,1.22,1220000,1484.85,3.712
42.10683,15.61517,5,9,2013,670000,460000,200000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,158,75,0.2,0.46,0.67,670000,1430.38,"3,576"
42.16683,16.63317,5,10,2013,490000,380000,120000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,178,14,0.12,0.38,0.49,490000,325.88,0.815
41.99917,16.99783,5,10,2013,2300000,1950000,350000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,451,112,0.35,1.95,2.3,2300000,428.79,"1,072"
42.18017,18.83333,5,11,2013,220000,190000,30000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,43,27,0.03,0.19,0.22,220000,6.53,0.016
42.1665,18.53317,5,11,2013,1420000,1260000,160000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,109,39,0.16,1.26,1.42,1420000,65.1,0.163
41.49983,18.36633,5,11,2013,290000,220000,70000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,110,8,0.07,0.22,0.29,290000,26.04,0.065
41.4995,18.8355,5,12,2013,60000,40000,30000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,30,7,0.03,0.04,0.06,60000,969.62,"2,424"
41.82483,19.21,5,12,2013,310000,170000,140000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,11,101,0.14,0.17,0.31,310000,0,0
42.03717,19.00367,5,12,2013,100000,90000,10000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,22,20,0.01,0.09,0.1,100000,14.01,0.035
41.03833,18.53333,5,13,13,520000,470000,60000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,101,39,0.06,0.47,0.52,520000,47.03,0.118
40.8845,18.95467,5,13,13,1600000,1300000,310000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,324,41,0.31,1.3,1.6,1600000,287.27,0.718
40.4495,19.13283,5,13,13,480000,330000,150000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,119,32,0.15,0.33,0.48,480000,120.34,0.301
40.50383,19.22667,5,13,13,140000,70000,60000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,21,55,0.06,0.07,0.14,140000,38.61,0.097
40.30717,19.33867,5,14,13,440000,320000,130000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,145,65,0.13,0.32,0.44,440000,33.67,0.084
40.172,19.39333,5,14,13,650000,610000,40000,,,,Suaria 2016,"Corrected, Checked the distance of the trawl against the reported distances. ",,,,95,13,0.04,0.61,0.65,650000,27.21,0.068
