Lat,Long,Month,Day,Year,Pieces/km^2,micro,macro,weight,micro,macro,Source,Note,,Water filtered (m3),km^2,Size of trawl,,>0.5–1 mm,>1–2.5 mm,>2.5–5 mm,>5 mm,Total,Pieces/km^2,micro,macro,,Transect,Department,Trawl,Ending point
32.00621667,-122.2496667,8,unsure,2013,50547.59899,48249.98085,2297.618136,,,,"ZHAO 2014, http://www.sciencedirect.com/science/article/pii/S0025326X14004123?via%3Dihub",Not corrected. Macro micro break is at 5mm.,,130.57,0.000435233,30 × 40 cm2 ,B1,16,5,0,1,22,50547.59899,48249.98085,2297.618136,,B,TCS,B1,122°16.757W 32°00.698N
31.99908333,-122.7553,8,unsure,2013,32397.40821,32397.40821,0,,,,"ZHAO 2014, http://www.sciencedirect.com/science/article/pii/S0025326X14004123?via%3Dihub",Not corrected. Macro micro break is at 5mm.,,111.12,0.0003704,,B2,7,5,0,0,12,32397.40821,32397.40821,0,,,TIS,B2,122°48.458W 31°59.514N
31.98343333,-123.1142167,8,unsure,2013,33228.72439,27690.60366,5538.120731,,,,"ZHAO 2014, http://www.sciencedirect.com/science/article/pii/S0025326X14004123?via%3Dihub",Not corrected. Macro micro break is at 5mm.,,108.34,0.000361133,,B3,8,1,1,2,12,33228.72439,27690.60366,5538.120731,,,TFS,B3,123°08.348W 31°59.168N
31.48851667,-122.3124167,8,unsure,2013,126678.6654,118371.8676,8306.797729,,,,"ZHAO 2014, http://www.sciencedirect.com/science/article/pii/S0025326X14004123?via%3Dihub",Not corrected. Macro micro break is at 5mm.,,144.46,0.000481533,,C1,16,23,18,4,61,126678.6654,118371.8676,8306.797729,,C,TCS,C1,122°17.530W 31° 29.057N
31.51175,-122.8660333,8,unsure,2013,112400.8228,92565.38349,19835.43932,,,,"ZHAO 2014, http://www.sciencedirect.com/science/article/pii/S0025326X14004123?via%3Dihub",Not corrected. Macro micro break is at 5mm.,,136.12,0.000453733,,C2,10,21,11,9,51,112400.8228,92565.38349,19835.43932,,,TIS,C2,122°50.207W 31° 30.498N
31.50976667,-123.26285,8,unsure,2013,102479.3388,89256.19835,13223.1405,,,,"ZHAO 2014, http://www.sciencedirect.com/science/article/pii/S0025326X14004123?via%3Dihub",Not corrected. Macro micro break is at 5mm.,,181.5,0.000605,,C3,17,23,14,8,62,102479.3388,89256.19835,13223.1405,,,TFS,C3,123°14.012W 31° 30.460N
30.98563333,-122.2750667,8,unsure,2013,108762.7276,106448.627,2314.100586,,,,"ZHAO 2014, http://www.sciencedirect.com/science/article/pii/S0025326X14004123?via%3Dihub",Not corrected. Macro micro break is at 5mm.,,129.64,0.000432133,,D1,3,7,36,1,47,108762.7276,106448.627,2314.100586,,D,TCS,D1,122°19.167W 30° 59.089N
30.99448333,-122.7317667,8,unsure,2013,12341.86979,9256.402345,3085.467448,,,,"ZHAO 2014, http://www.sciencedirect.com/science/article/pii/S0025326X14004123?via%3Dihub",Not corrected. Macro micro break is at 5mm.,,194.46,0.0006482,,D2,3,2,1,2,8,12341.86979,9256.402345,3085.467448,,,TIS,D2,122°46.575W 30° 59.422N
30.9843,-123.17415,8,unsure,2013,25497.45025,20997.90021,4499.550045,,,,"ZHAO 2014, http://www.sciencedirect.com/science/article/pii/S0025326X14004123?via%3Dihub",Not corrected. Macro micro break is at 5mm.,,200.02,0.000666733,,D3,5,4,5,3,17,25497.45025,20997.90021,4499.550045,,,TFS,D3,123°12.473W 30° 59.051N
30.50791667,-122.3094833,8,unsure,2013,44997.75011,44997.75011,0,,,,"ZHAO 2014, http://www.sciencedirect.com/science/article/pii/S0025326X14004123?via%3Dihub",Not corrected. Macro micro break is at 5mm.,,66.67,0.000222233,,E1,8,2,0,0,10,44997.75011,44997.75011,0,,E,TCS,E1,122°17.736W 30° 30.525N
30.5062,-122.8623833,8,unsure,2013,8999.10009,8999.10009,0,,,,"ZHAO 2014, http://www.sciencedirect.com/science/article/pii/S0025326X14004123?via%3Dihub",Not corrected. Macro micro break is at 5mm.,,200.02,0.000666733,,E2,3,0,3,0,6,8999.10009,8999.10009,0,,,TIS,E2,122°50.137W 30° 30.459N
30.50441667,-123.2412,8,unsure,2013,21313.88244,17051.10595,4262.776488,,,,"ZHAO 2014, http://www.sciencedirect.com/science/article/pii/S0025326X14004123?via%3Dihub",Not corrected. Macro micro break is at 5mm.,,211.13,0.000703767,,E3,5,4,3,3,15,21313.88244,17051.10595,4262.776488,,,TFS,E3,123°13.477W 30° 30.651N
29.99481667,-122.4983667,8,unsure,2013,37512.78845,37512.78845,0,,,,"ZHAO 2014, http://www.sciencedirect.com/science/article/pii/S0025326X14004123?via%3Dihub",Not corrected. Macro micro break is at 5mm.,,175.94,0.000586467,,F1,10,10,2,0,22,37512.78845,37512.78845,0,,F,TCS,F1,122°29.120W 29° 59.841N
29.99761667,-122.7484667,8,unsure,2013,19438.44492,19438.44492,0,,,,"ZHAO 2014, http://www.sciencedirect.com/science/article/pii/S0025326X14004123?via%3Dihub",Not corrected. Macro micro break is at 5mm.,,185.2,0.000617333,,F2,8,2,2,0,12,19438.44492,19438.44492,0,,,TIS,F2,122°44.306W 29° 59.704N
30.00975,-123.2411167,8,unsure,2013,27769.20703,27769.20703,0,,,,"ZHAO 2014, http://www.sciencedirect.com/science/article/pii/S0025326X14004123?via%3Dihub",Not corrected. Macro micro break is at 5mm.,,194.46,0.0006482,,F3,14,3,1,0,18,27769.20703,27769.20703,0,,,TFS,F3,123°14.201W 30° 00.876N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
