"","Date","DateFormatted","prediction","lower","upper","averageconcentration_count_km2","averageconcentrationlower_count_km2","averageconcentrationupper_count_km2","averagemassconcentration_g_km2","averagemassconcentration_g_km2_lower","averagemassconcentration_g_km2_upper","oceantotalcount","oceantotalcountlower","oceantotalcountupper","oceantotalmassmetrictonnes","oceantotalmassmetrictonnes_lower","oceantotalmassmetrictonnes_upper"
"1",0,1979-01-15,1.03669180920064,-0.148575836446832,2.22195945484811,285381.664891354,87231.0036164307,933643.90273759,3881.19064252242,1186.34164918346,12697.5570772312,103279624524181,31568900208786.3,337885728400734,1404602.89352886,429337.042839493,4595245.90624998
"2",1,1979-01-16,1.03647781966312,-0.148461460792209,2.22141710011845,285320.602734433,87240.9812901634,933137.673841354,3880.36019718829,1186.47734554622,12690.6723642424,103257526129591,31572511128910.1,337702524163186,1404302.35536244,429386.151353178,4592754.32861933
"3",2,1979-01-17,1.03626383012657,-0.148347088461215,2.22087474871435,285259.553643051,87250.9598151745,932631.722527828,3879.52992954549,1186.61305348637,12683.7914263785,103235432463420,31576122357111.6,337519420382821,1404001.88150251,429435.264056718,4590264.11720637
"4",3,1979-01-18,1.03604984059035,-0.148232719457162,2.22033240063785,285198.517614232,87260.939191206,932126.048645058,3878.69983955356,1186.7487730004,12676.9142615728,103213343524591,31579733893297.4,337336417004646,1403701.47193443,429484.380948845,4587775.27126319
"5",4,1979-01-19,1.0358358510529,-0.148118353784417,2.21979005589021,285137.494644738,87270.9194179077,931620.652040418,3877.86992716844,1186.88450408354,12670.0408677497,103191259311931,31583345737340.8,337153513973427,1403401.12664226,429533.502027835,4585287.79003861
"6",5,1979-01-20,1.03562186151601,-0.148003991443935,2.21924771447596,285076.484732285,87280.9004952271,931115.532564432,3877.04019235907,1187.02024673509,12663.1712428763,103169179824614,31586957889222.7,336970711235068,1403100.84561475,429582.627293429,4582801.67279692
"7",6,1979-01-21,1.03540787197932,-0.147889632438745,2.21870537639739,285015.487873974,87290.8824229307,930610.690065609,3876.21063508605,1187.15600095186,12656.3053848923,103147105061591,31590570348858.6,336788008734744,1402800.62883764,429631.756744477,4580316.91879252
"8",7,1979-01-22,1.03519388244278,-0.147775276771765,2.21816304165732,284954.504066996,87300.8652007942,930106.124393012,3875.38125531114,1187.2917667308,12649.443291745,103125035021846,31594183116167.4,336605406417831,1402500.4762971,429680.890379877,4577833.5272825
"9",8,1979-01-23,1.03497989290566,-0.147660924446693,2.21762071025802,284893.533308357,87310.8488285253,929601.835395315,3874.55205299366,1187.42754406794,12642.5849613763,103102969704294,31597796191043.3,336422904229564,1402200.3879784,429730.028198189,4575351.49752207
"10",9,1979-01-24,1.03476590336894,-0.147546575464957,2.21707838220285,284832.575595539,87320.8333060299,929097.822922244,3873.72302809933,1187.56333296201,12635.7303917425,103080909108026,31601409573452.2,336240502115560,1401900.36386915,429779.17019895,4572870.82877162
"11",10,1979-01-25,1.03455191383216,-0.147432229830159,2.21653605749448,284771.63092562,87330.8186330238,928594.086822996,3872.89418058843,1187.69913340912,12628.8795807927,103058853231982,31605023263291.3,336058200021242,1401600.40395495,429828.316380762,4570391.52028889
"12",11,1979-01-26,1.03433792429499,-0.14731788754518,2.21599373613516,284710.699295718,87340.8048092856,928090.626946442,3872.06551042176,1187.83494540628,12622.0325264716,103036802075120,31608637260480.4,335875997891917,1401300.50822164,429877.466742534,4567913.57133007
"13",12,1979-01-27,1.03412393475843,-0.147203548611966,2.21545141812882,284649.780703323,87350.7918346756,927587.443143076,3871.23701756519,1187.97076895159,12615.1892267458,103014755636533,31612251564969.1,335693895673479,1401000.67665684,429926.62128358,4565436.98115932
"14",13,1979-01-28,1.03390994522132,-0.147089213034368,2.21490910347701,284588.875145322,87360.7797088874,927084.535261312,3870.40870197638,1188.10660404087,12608.3496795538,102992713915092,31615866176646.3,335511893311069,1400700.90924525,429975.78000239,4562961.74903054
"15",14,1979-01-29,1.03369595568445,-0.146974880814486,2.21436679218339,284527.982619145,87370.7684317677,926581.903151549,3869.58056362037,1188.24245067204,12601.5138828611,102970676909869,31619481095456.7,335329990750546,1400401.20597421,430024.942898211,4560487.87420742
"16",15,1979-01-30,1.03348196614772,-0.146860551955048,2.21382448425048,284467.103121977,87380.758003108,926079.546663252,3868.75260245889,1188.37830884227,12594.6818346202,102948644619844,31623096321324.8,335148187937431,1400101.56682987,430074.109970017,4558015.35594906
"17",16,1979-01-31,1.0332679766109,-0.146746226459246,2.21328217968104,284406.236650966,87390.7484226592,925577.465646149,3867.92481845313,1188.51417854816,12587.8535327876,102926617043984,31626711854160.4,334966484817342,1399801.99179819,430123.281216581,4555544.19351584
"18",17,1979-02-01,1.03305398707423,-0.14663190432961,2.21273987847807,284345.383203392,87400.73969023,925075.659950301,3867.09721156613,1188.65005978713,12581.0289753241,102904594181308,31630327693894.2,334784881336014,1399502.48086578,430172.456636961,4553074.38616979
"19",18,1979-02-02,1.03283999753697,-0.146517585569797,2.21219758064374,284284.542776259,87410.7318055303,924574.129425072,3866.26978175712,1188.78595255521,12574.208160181,102882576030728,31633943840421.4,334603377438933,1399203.0340179,430221.636229731,4550605.93316949
"20",19,1979-02-03,1.03262600800045,-0.146403270180968,2.21165528618186,284223.715367155,87420.7247684883,924072.87392141,3865.44252899331,1188.92185685144,12567.3910853312,102860562591373,31637560293715.9,334421973072158,1398903.65124268,430270.819994537,4548138.83378135
"21",20,1979-02-04,1.0324120184634,-0.146288958167562,2.21111299509436,284162.90097294,87430.7185787454,923571.893288626,3864.61545323199,1189.05777267094,12560.5777487253,102838553862107,31641177053648,334240668181154,1398604.33252466,430320.007929612,4545673.08726369
"22",21,1979-02-05,1.03219802892682,-0.146174649531334,2.21057070738497,284102.099591109,87440.7132361775,923071.187377759,3863.78855443909,1189.19370001201,12553.7681483375,102816549842022,31644794120172.7,334059462712011,1398305.07785151,430369.200034348,4543208.69288335
"23",22,1979-02-06,1.03198403938953,-0.146060344276063,2.21002842305513,284041.311218545,87450.7087404836,922570.756037812,3862.96183257221,1189.32963887058,12546.9622821142,102794550529992,31648411493181,333878356610084,1398005.88720788,430418.396307262,4540745.64989715
"24",23,1979-02-07,1.03177004985273,-0.145946042403689,2.20948614210915,283980.535852804,87460.7050915229,922070.59912054,3862.13528759813,1189.46558924471,12540.1601480393,102772555925130,31652029172622.1,333697349821724,1397706.76058176,430467.596747661,4538283.95757544
