"","Year","Basin","count","cv"
"1",1979,"South Atlantic",9,0.526944762356207
"2",1985,"North Pacific",16,2.00160517662299
"3",1986,"North Atlantic",20,1.72367763584903
"4",1986,"North Pacific",26,1.53747665765813
"5",1987,"North Atlantic",138,3.07057514387069
"6",1987,"North Pacific",60,1.81312775597027
"7",1988,"North Pacific",9,1.33770912046782
"8",1989,"North Atlantic",176,2.72510060003288
"9",1990,"North Atlantic",131,3.21764104513305
"10",1991,"North Atlantic",294,2.74150176751949
"11",1992,"North Atlantic",516,1.96858650600132
"12",1993,"North Atlantic",359,2.52786405669536
"13",1994,"North Atlantic",323,2.24469948985789
"14",1995,"North Atlantic",348,2.84722410847619
"15",1996,"North Atlantic",405,3.18181709566486
"16",1997,"North Atlantic",387,3.17868641838613
"17",1998,"North Atlantic",412,2.54189053300105
"18",1999,"North Atlantic",347,2.05259220342924
"19",1999,"North Pacific",5,0.733527835600132
"20",2000,"North Atlantic",437,3.62215739378223
"21",2000,"North Pacific",6,0.497882185761626
"22",2001,"North Atlantic",372,2.43790945520195
"23",2001,"North Pacific",50,1.80026379722165
"24",2001,"South Pacific",44,1.73757177010787
"25",2002,"North Atlantic",243,6.08074093180311
"26",2002,"North Pacific",139,4.28597599053917
"27",2002,"South Pacific",44,1.39909237240209
"28",2003,"North Atlantic",200,3.82610552131593
"29",2003,"North Pacific",160,2.75702101797983
"30",2003,"South Pacific",50,1.28008644848457
"31",2004,"North Atlantic",197,2.76532138920823
"32",2004,"North Pacific",155,5.76394274141668
"33",2004,"South Pacific",36,1.55891384478806
"34",2005,"North Atlantic",243,2.80475789471153
"35",2005,"North Pacific",190,4.17229799498815
"36",2005,"South Pacific",53,3.09446971560289
"37",2006,"North Atlantic",171,2.25110789250799
"38",2006,"North Pacific",305,2.3981467907508
"39",2006,"South Pacific",29,0.858719734673052
"40",2007,"North Atlantic",253,3.6838511617815
"41",2007,"North Pacific",150,5.08672847224334
"42",2007,"South Pacific",35,2.05349950364237
"43",2008,"North Atlantic",161,3.90467996152698
"44",2008,"North Pacific",163,2.84092714497431
"45",2008,"South Pacific",81,1.73570896130959
"46",2009,"North Atlantic",148,2.66415580298083
"47",2009,"North Pacific",275,2.34965084175363
"48",2009,"South Pacific",71,4.78646942806296
"49",2010,"North Atlantic",369,10.959937466313
"50",2010,"North Pacific",145,4.35152855126989
"51",2010,"South Pacific",19,3.58928999197516
"52",2011,"Indian",31,1.31827269058207
"53",2011,"North Atlantic",310,3.18125436657741
"54",2011,"North Pacific",281,3.75269429091098
"55",2011,"South Atlantic",28,1.28036351772308
"56",2011,"South Pacific",80,2.5557227445376
"57",2012,"North Atlantic",229,4.47114772143448
"58",2012,"North Pacific",240,4.3784476801272
"59",2012,"South Pacific",64,4.12598141134448
"60",2013,"Mediterranean",109,1.62198965102598
"61",2013,"North Atlantic",37,3.38124378156845
"62",2013,"North Pacific",104,2.7494978266049
"63",2013,"South Atlantic",9,1.31044296658212
"64",2013,"South Pacific",21,1.23714781726298
"65",2014,"Mediterranean",8,1.21914741981092
"66",2014,"North Atlantic",108,2.87180411498038
"67",2014,"North Pacific",95,4.56948688626115
"68",2014,"South Pacific",60,2.14642730528295
"69",2015,"Mediterranean",2,0.543224638710248
"70",2015,"North Atlantic",106,2.20045039736062
"71",2015,"South Pacific",119,1.61204913733994
"72",2016,"North Atlantic",3,0.447007726092755
"73",2016,"South Pacific",1,NA
"74",2017,"North Atlantic",68,1.80083255632112
"75",2019,"North Atlantic",19,1.12454450059155
