"","year","mean_total_count_trillion_particles","mean_total_mass_million_metric_tonnes"
"1","1979",99.5069005644542,1.35329384767658
"2","1980",92.1605590971077,1.25338360372066
"3","1981",85.2269495603903,1.15908651402131
"4","1982",78.8235265251181,1.07199996074161
"5","1983",72.9012168792156,0.991456549557332
"6","1984",67.4167531572597,0.916867842938732
"7","1985",62.3447196626126,0.847888187411531
"8","1986",57.6601853810208,0.784178521181883
"9","1987",53.272397377688,0.724504604336556
"10","1988",48.8655264865974,0.664571160217725
"11","1989",44.1497239065666,0.600436245129305
"12","1990",39.0887664738075,0.531607224043782
"13","1991",34.0514712854461,0.463100009482067
"14","1992",29.7584094000437,0.404714367840594
"15","1993",27.0043574099097,0.367259260774771
"16","1994",26.3827337880327,0.358805179517245
"17","1995",28.219909211161,0.38379076527179
"18","1996",32.4337797756273,0.441099404948531
"19","1997",37.8631927699799,0.514939421671727
"20","1998",41.6524795467467,0.566473721835755
"21","1999",40.4589591398439,0.550241844301878
"22","2000",33.8261588381408,0.460035760198715
"23","2001",25.0991627490866,0.341348613387578
"24","2002",18.1343738453273,0.246627484296451
"25","2003",14.4420370796884,0.196411704283762
"26","2004",13.9660382301153,0.189938119929568
"27","2005",16.6692907619302,0.22670235436225
"28","2006",22.8365777983429,0.310577458057463
"29","2007",31.976228590916,0.434876708836458
"30","2008",41.6580558754661,0.566549559906339
"31","2009",49.0215656995509,0.666693293513892
"32","2010",54.3476559254284,0.739128120585826
"33","2011",61.4227933734966,0.835349989879553
"34","2012",74.3771822116525,1.01152967807847
"35","2013",94.5750105495729,1.28622014347419
"36","2014",118.504992478319,1.61166789770514
"37","2015",138.6082776227,1.88507257566871
"38","2016",149.374411042911,2.03149199018359
"39","2017",151.504896466146,2.06046659193958
"40","2018",148.623701869084,2.02128234541954
"41","2019",145.277846461479,1.97577871187611
